,emma,harriet,weston,elton,knightley,woodhouse,jane,frank churchill,bates,jane fairfax
emma,0.0,0.0051135945562092045,0.003510143174947215,0.0053442915868522406,0.0010781426712087436,0.001030780587236107,0.003105815099517032,0.0005802541456668468,0.0010136067286072926,0.0010868619417961558
harriet,0.0051135945562092045,0.0,0.06021967193923115,0.04380907140881382,0.019817374048656373,0.014398347594041403,0.0197346656376427,0.008597637030326176,0.020278766683748086,0.01891572570880383
weston,0.003510143174947215,0.06021967193923115,0.0,0.05469770044634573,0.025136394064834026,0.008031603563068005,0.011792449619834085,0.0029718542629181667,0.005574805186589713,0.00873935989225002
elton,0.0053442915868522406,0.04380907140881382,0.05469770044634573,0.0,0.05084881159733694,0.011612305552503397,0.0128074925075879,0.01780031994592165,0.014656708020785395,0.015136845604254167
knightley,0.0010781426712087436,0.019817374048656373,0.025136394064834026,0.05084881159733694,0.0,0.03849687310508173,0.018166308929491663,0.006970019853771324,0.008171547925816347,0.006486014934604481
woodhouse,0.001030780587236107,0.014398347594041403,0.008031603563068005,0.011612305552503397,0.03849687310508173,0.0,0.026016885501077707,0.015612273075397257,0.009648964152427487,0.01082907345693684
jane,0.003105815099517032,0.0197346656376427,0.011792449619834085,0.0128074925075879,0.018166308929491663,0.026016885501077707,0.0,0.02580668045709895,0.02681049517812223,0.026040277564347222
frank churchill,0.0005802541456668468,0.008597637030326176,0.0029718542629181667,0.01780031994592165,0.006970019853771324,0.015612273075397257,0.02580668045709895,0.0,0.07012000975218206,0.02612218344663684
bates,0.0010136067286072926,0.020278766683748086,0.005574805186589713,0.014656708020785395,0.008171547925816347,0.009648964152427487,0.02681049517812223,0.07012000975218206,0.0,0.015121096048953434
jane fairfax,0.0010868619417961558,0.01891572570880383,0.00873935989225002,0.015136845604254167,0.006486014934604481,0.01082907345693684,0.026040277564347222,0.02612218344663684,0.015121096048953434,0.0
