,bixby,brown,stephen,napoleon,mabry,yates,backus,o'connor,bob,tom
bixby,0.0,0.19285955502740612,0.08414836070709593,0.20033662342980404,0.2865608024467052,0.0770237466648775,0.25513250928975545,0.26585757317688574,0.05946167033287424,0.03452751144380875
brown,0.19285955502740612,0.0,0.029874182986801563,0.18392103492934583,0.1804394165220181,0.012661487678747042,0.1904346690627735,0.16163666526965623,0.25958870084178515,0.05870149300714183
stephen,0.08414836070709593,0.029874182986801563,0.0,0.22219602709832748,0.31831697061225894,0.001422925884007377,0.27607411585972197,0.3145915891226252,0.22204292036494314,0.06338799553067166
napoleon,0.20033662342980404,0.18392103492934583,0.22219602709832748,0.0,0.08818214254251819,0.20019601373805124,0.04465601274378447,0.08109192068262569,0.25633795112786023,0.17540602066691482
mabry,0.2865608024467052,0.1804394165220181,0.31831697061225894,0.08818214254251819,0.0,0.31457250116614155,0.03849771748278933,5.599959810841572e-05,0.5871586940943837,0.3227922579848492
yates,0.0770237466648775,0.012661487678747042,0.001422925884007377,0.20019601373805124,0.31457250116614155,0.0,0.27529478365594123,0.31381226501759824,0.27158119739930225,0.10661997771935275
backus,0.25513250928975545,0.1904346690627735,0.27607411585972197,0.04465601274378447,0.03849771748278933,0.27529478365594123,0.0,0.03849367311237252,0.5484212514528116,0.29501423258322473
o'connor,0.26585757317688574,0.16163666526965623,0.3145915891226252,0.08109192068262569,5.599959810841572e-05,0.31381226501759824,0.03849367311237252,0.0,0.5871501849917045,0.32291394202741375
bob,0.05946167033287424,0.25958870084178515,0.22204292036494314,0.25633795112786023,0.5871586940943837,0.27158119739930225,0.5484212514528116,0.5871501849917045,0.0,0.24241166575358897
tom,0.03452751144380875,0.05870149300714183,0.06338799553067166,0.17540602066691482,0.3227922579848492,0.10661997771935275,0.29501423258322473,0.32291394202741375,0.24241166575358897,0.0
