,maurice,jean,henriette,delaherche,weiss,loubet,silvine,honore,gilberte,fouchard
maurice,0.0,0.007472009510044912,0.01224432099962226,0.016060259878256662,0.009057287481794303,0.0009903765888667855,0.024614001035310626,0.0049493818332996585,0.015875849612703625,0.01526403574203029
jean,0.007472009510044912,0.0,0.011834446451946205,0.020339061256637214,0.013672482915490534,0.001020787899783179,0.016294364435109426,0.006770382344075425,0.015517692637371292,0.00840334248265841
henriette,0.01224432099962226,0.011834446451946205,0.0,0.05036425462259992,0.0993928374139837,0.10780555230484211,0.03555100209842396,0.058221759579391706,0.005537544995795198,0.020361520725269564
delaherche,0.016060259878256662,0.020339061256637214,0.05036425462259992,0.0,0.14388992388084987,0.16004884372605133,0.08241793191764434,0.06472974891324255,0.012937434723505628,0.06408236641327525
weiss,0.009057287481794303,0.013672482915490534,0.0993928374139837,0.14388992388084987,0.0,0.09873706954687579,0.25524952419484626,0.08454941919632988,0.16303188599707116,0.22213928518904866
loubet,0.0009903765888667855,0.001020787899783179,0.10780555230484211,0.16004884372605133,0.09873706954687579,0.0,0.28838902340202155,0.0496903543509833,0.17499945411562387,0.172157535589995
silvine,0.024614001035310626,0.016294364435109426,0.03555100209842396,0.08241793191764434,0.25524952419484626,0.28838902340202155,0.0,0.17107954758197033,0.07936422546864118,0.009454362220665204
honore,0.0049493818332996585,0.006770382344075425,0.058221759579391706,0.06472974891324255,0.08454941919632988,0.0496903543509833,0.17107954758197033,0.0,0.1623269879853075,0.14787314972855972
gilberte,0.015875849612703625,0.015517692637371292,0.005537544995795198,0.012937434723505628,0.16303188599707116,0.17499945411562387,0.07936422546864118,0.1623269879853075,0.0,0.10011284106972768
fouchard,0.01526403574203029,0.00840334248265841,0.020361520725269564,0.06408236641327525,0.22213928518904866,0.172157535589995,0.009454362220665204,0.14787314972855972,0.10011284106972768,0.0
