,varney,tressilian,elizabeth,lambourne,janet,amy,foster,blount,michael lambourne,anthony foster
varney,0.0,0.04281911099011777,0.008109794344259354,0.012162825216140562,0.013079026400041325,0.004336816474421268,0.0009605178804956137,0.016539503564992144,0.014816102965580046,0.0030535300901973765
tressilian,0.04281911099011777,0.0,0.07172357944697788,0.02820177895873019,0.09915179114474724,0.019464407294758262,0.025030950538538932,0.010139538770484726,0.007592715652125934,0.010392433200612299
elizabeth,0.008109794344259354,0.07172357944697788,0.0,0.1600998322289185,0.1205270725257169,0.02743878708050731,0.07466378635525031,0.01334612395409208,0.09693861179246159,0.08493340141899285
lambourne,0.012162825216140562,0.02820177895873019,0.1600998322289185,0.0,0.10751583922416406,0.036344716521426096,0.01847347606162304,0.06297148076982959,0.0010437144455501895,0.008080702387608992
janet,0.013079026400041325,0.09915179114474724,0.1205270725257169,0.10751583922416406,0.0,0.10741650355746633,0.05743743466043381,0.13223237774941057,0.06771449480275843,0.03053524590102231
amy,0.004336816474421268,0.019464407294758262,0.02743878708050731,0.036344716521426096,0.10741650355746633,0.0,0.04688334613686081,0.07382340798153746,0.05608614475846946,0.031321337511054745
foster,0.0009605178804956137,0.025030950538538932,0.07466378635525031,0.01847347606162304,0.05743743466043381,0.04688334613686081,0.0,0.1682801777337338,0.05827333700360694,0.010142179044072849
blount,0.016539503564992144,0.010139538770484726,0.01334612395409208,0.06297148076982959,0.13223237774941057,0.07382340798153746,0.1682801777337338,0.0,0.17708660611852634,0.15597720579696106
michael lambourne,0.014816102965580046,0.007592715652125934,0.09693861179246159,0.0010437144455501895,0.06771449480275843,0.05608614475846946,0.05827333700360694,0.17708660611852634,0.0,0.03679308444170179
anthony foster,0.0030535300901973765,0.010392433200612299,0.08493340141899285,0.008080702387608992,0.03053524590102231,0.031321337511054745,0.010142179044072849,0.15597720579696106,0.03679308444170179,0.0
