,caleb,bucklaw,lucy,lady ashton,ashton,wolf,craigengelt,marquis,william ashton,alice
caleb,0.0,0.0669157276478339,0.13127000748091666,0.13763851714213016,0.1295763601770897,0.005951519897689153,0.05188423454386379,0.04951499834545798,0.04965088185270401,0.058875797630533966
bucklaw,0.0669157276478339,0.0,0.07652282097118836,0.04341160032870612,0.05103089145567103,0.043924071595789246,0.009777798062403694,0.05573162275444435,0.03445337791869131,0.050832735876653115
lucy,0.13127000748091666,0.07652282097118836,0.0,0.018905772013814787,0.02315485932544331,0.0921285785959361,0.02444439134986258,0.06192414523127692,0.01827846979792262,0.0073751061965172315
lady ashton,0.13763851714213016,0.04341160032870612,0.018905772013814787,0.0,0.03170192983380073,0.2201005101083604,0.18553202053412382,0.0760810719423253,0.11026305039410485,0.11961495353879965
ashton,0.1295763601770897,0.05103089145567103,0.02315485932544331,0.03170192983380073,0.0,0.24296299346330288,0.22486211815312543,0.11433299618312633,0.14313130582025393,0.1577324086002158
wolf,0.005951519897689153,0.043924071595789246,0.0921285785959361,0.2201005101083604,0.24296299346330288,0.0,0.08141543941940015,0.10047299833521091,0.06108712599810254,0.08891893456262527
craigengelt,0.05188423454386379,0.009777798062403694,0.02444439134986258,0.18553202053412382,0.22486211815312543,0.08141543941940015,0.0,0.10590500413868206,0.03864062830015133,0.04839534794817927
marquis,0.04951499834545798,0.05573162275444435,0.06192414523127692,0.0760810719423253,0.11433299618312633,0.10047299833521091,0.10590500413868206,0.0,0.12149941785901765,0.08322022464402876
william ashton,0.04965088185270401,0.03445337791869131,0.01827846979792262,0.11026305039410485,0.14313130582025393,0.06108712599810254,0.03864062830015133,0.12149941785901765,0.0,0.03386073271828922
alice,0.058875797630533966,0.050832735876653115,0.0073751061965172315,0.11961495353879965,0.1577324086002158,0.08891893456262527,0.04839534794817927,0.08322022464402876,0.03386073271828922,0.0
