,hugh,barnaby,john,joe,haredale,dolly,dennis,miggs,tappertit,chester
hugh,0.0,0.04252665389335387,0.030967725393174845,0.09537772533099988,0.02226807794547051,0.032079230082872626,0.0029807544267666463,0.026325599017843895,0.016601368294925055,0.028394100409573325
barnaby,0.04252665389335387,0.0,0.04998176089296908,0.07688093316023394,0.042531524910704596,0.061882579245550066,0.02718475629050628,0.019079276096339873,0.030015961562866844,0.09828106223263006
john,0.030967725393174845,0.04998176089296908,0.0,0.07635840215896195,0.025877829776426765,0.05870778831394243,0.08974587650765799,0.027275835744236875,0.027614420737956953,0.05979240558340623
joe,0.09537772533099988,0.07688093316023394,0.07635840215896195,0.0,0.07725355010624096,0.03132330137302763,0.17097109651218784,0.03802059054761016,0.05289389237882221,0.030474189590608037
haredale,0.02226807794547051,0.042531524910704596,0.025877829776426765,0.07725355010624096,0.0,0.0472764884549447,0.11402628235361556,0.02630248027498172,0.028733517366441124,0.03457512151171677
dolly,0.032079230082872626,0.061882579245550066,0.05870778831394243,0.03132330137302763,0.0472764884549447,0.0,0.13566545881666503,0.02549308172585829,0.044135978248252876,0.04466841156900271
dennis,0.0029807544267666463,0.02718475629050628,0.08974587650765799,0.17097109651218784,0.11402628235361556,0.13566545881666503,0.0,0.1268207433789869,0.20066571154459797,0.28680771665924515
miggs,0.026325599017843895,0.019079276096339873,0.027275835744236875,0.03802059054761016,0.02630248027498172,0.02549308172585829,0.1268207433789869,0.0,0.056599743290536846,0.1463360612973388
tappertit,0.016601368294925055,0.030015961562866844,0.027614420737956953,0.05289389237882221,0.028733517366441124,0.044135978248252876,0.20066571154459797,0.056599743290536846,0.0,0.09324782282256368
chester,0.028394100409573325,0.09828106223263006,0.05979240558340623,0.030474189590608037,0.03457512151171677,0.04466841156900271,0.28680771665924515,0.1463360612973388,0.09324782282256368,0.0
