,velchaninoff,pavel pavlovitch,zina,maria alexandrovna,liza,mosgliakoff,pavel,alexey ivanovitch,paul,prince
velchaninoff,0.0,0.0031961276574142884,0.42713313420502264,0.428515702159027,0.0017623452046106286,0.24967987077915885,0.001120703151166236,0.0010316834297618123,0.28506910347215225,0.2289698287374589
pavel pavlovitch,0.0031961276574142884,0.0,0.520921699903629,0.5195061510756034,0.006812608529971409,0.32579005734807504,0.0015534146106790027,0.001095733971843175,0.35547293291143606,0.2978663188612282
zina,0.42713313420502264,0.520921699903629,0.0,0.023783755896479814,0.2639792578234956,0.0036329214923015154,0.4421466038844984,0.31195688220093426,0.003030209515389347,0.0030460700780493405
maria alexandrovna,0.428515702159027,0.5195061510756034,0.023783755896479814,0.0,0.31287016526728806,0.0016266730615785126,0.48849464938579257,0.3553332205828552,0.0013727511116126921,0.0024573957843169645
liza,0.0017623452046106286,0.006812608529971409,0.2639792578234956,0.31287016526728806,0.0,0.39142771517489405,0.16324632310902154,0.049098300740152055,0.4142827168190007,0.3517309789120462
mosgliakoff,0.24967987077915885,0.32579005734807504,0.0036329214923015154,0.0016266730615785126,0.39142771517489405,0.0,0.6082279584463941,0.4440413612321217,0.012090755470725988,0.014082772015476828
pavel,0.001120703151166236,0.0015534146106790027,0.4421466038844984,0.48849464938579257,0.16324632310902154,0.6082279584463941,0.0,0.09229988886840576,0.6246160798883492,0.5540478566934728
alexey ivanovitch,0.0010316834297618123,0.001095733971843175,0.31195688220093426,0.3553332205828552,0.049098300740152055,0.4440413612321217,0.09229988886840576,0.0,0.5194547386533899,0.4318307801768133
paul,0.28506910347215225,0.35547293291143606,0.003030209515389347,0.0013727511116126921,0.4142827168190007,0.012090755470725988,0.6246160798883492,0.5194547386533899,0.0,0.03642415578197908
prince,0.2289698287374589,0.2978663188612282,0.0030460700780493405,0.0024573957843169645,0.3517309789120462,0.014082772015476828,0.5540478566934728,0.4318307801768133,0.03642415578197908,0.0
