,eveline,rose,damian,de lacy,raoul,wilkin flammock,fleming,gwenwyn,gillian,wilkin
eveline,0.0,0.007155865657311597,0.03048568562713894,0.008612569849781896,0.008699521662712283,0.010684254856988566,0.00969466090588797,0.07995507718917896,0.004325949317264852,0.014324602787688252
rose,0.007155865657311597,0.0,0.1426135020680662,0.03927871019397295,0.023953292905932025,0.04942042418411738,0.03800387569428267,0.16624864950455293,0.008379801494980875,0.05944983483486544
damian,0.03048568562713894,0.1426135020680662,0.0,0.04036986962015875,0.023404744871811753,0.1692612218223224,0.1201624603430409,0.36073319570317475,0.02432661994188339,0.18494112227294474
de lacy,0.008612569849781896,0.03927871019397295,0.04036986962015875,0.0,0.031078252221712458,0.14246191814527356,0.10168887116785187,0.3098625309323224,0.026619853991484733,0.14880463051972134
raoul,0.008699521662712283,0.023953292905932025,0.023404744871811753,0.031078252221712458,0.0,0.17767246472917841,0.13969019781264735,0.3560995263221118,0.012188365992455359,0.19153947589033488
wilkin flammock,0.010684254856988566,0.04942042418411738,0.1692612218223224,0.14246191814527356,0.17767246472917841,0.0,0.0194011952109538,0.13154973724678795,0.1624624047749932,0.01110132782715752
fleming,0.00969466090588797,0.03800387569428267,0.1201624603430409,0.10168887116785187,0.13969019781264735,0.0194011952109538,0.0,0.19651697053819572,0.1359832508092518,0.014274639718447297
gwenwyn,0.07995507718917896,0.16624864950455293,0.36073319570317475,0.3098625309323224,0.3560995263221118,0.13154973724678795,0.19651697053819572,0.0,0.41023769309145236,0.11521368728646077
gillian,0.004325949317264852,0.008379801494980875,0.02432661994188339,0.026619853991484733,0.012188365992455359,0.1624624047749932,0.1359832508092518,0.41023769309145236,0.0,0.22646280736503516
wilkin,0.014324602787688252,0.05944983483486544,0.18494112227294474,0.14880463051972134,0.19153947589033488,0.01110132782715752,0.014274639718447297,0.11521368728646077,0.22646280736503516,0.0
