,bixby,brown,stephen,napoleon,mabry,yates,backus,o'connor,bob,tom
bixby,0.0,0.18339267676218715,0.07672569172077165,0.19631543652760314,0.2986346940878418,0.07149553206100348,0.26589100435126267,0.27855062544593573,0.0428916891915871,0.03303530834182248
brown,0.18339267676218715,0.0,0.02840700005204684,0.18062410663212414,0.19955852869935384,0.01221537995450798,0.21275215806650186,0.1813656817291639,0.2176708068592801,0.05621723350559697
stephen,0.07672569172077165,0.02840700005204684,0.0,0.2165548027444448,0.3315225403963665,0.001356620928307753,0.2854286013749355,0.32796277757166403,0.1821533929689821,0.06051028566528602
napoleon,0.19631543652760314,0.18062410663212414,0.2165548027444448,0.0,0.09641013560384444,0.20397272220922902,0.048545839794387195,0.0887890819299647,0.22704891906942334,0.16104845056783462
mabry,0.2986346940878418,0.19955852869935384,0.3315225403963665,0.09641013560384444,0.0,0.327973295352519,0.042512002312280826,6.225853865122664e-05,0.5577447126977715,0.3316454552480184
yates,0.07149553206100348,0.01221537995450798,0.001356620928307753,0.20397272220922902,0.327973295352519,0.0,0.284680023231383,0.3272142123771855,0.2288643721664421,0.10200041431804582
backus,0.26589100435126267,0.21275215806650186,0.2854286013749355,0.048545839794387195,0.042512002312280826,0.284680023231383,0.0,0.04250750692190757,0.5149674901694027,0.3006845639779378
o'connor,0.27855062544593573,0.1813656817291639,0.32796277757166403,0.0887890819299647,6.225853865122664e-05,0.3272142123771855,0.04250750692190757,0.0,0.5577352805925764,0.33177501765405526
bob,0.0428916891915871,0.2176708068592801,0.1821533929689821,0.22704891906942334,0.5577447126977715,0.2288643721664421,0.5149674901694027,0.5577352805925764,0.0,0.20367222410008481
tom,0.03303530834182248,0.05621723350559697,0.06051028566528602,0.16104845056783462,0.3316454552480184,0.10200041431804582,0.3006845639779378,0.33177501765405526,0.20367222410008481,0.0
