,bounderby,sparsit,louisa,gradgrind,tom,rachael,stephen,sissy,harthouse,bitzer
bounderby,0.0,0.01523515375502504,0.01138256505093035,0.01753629549147933,0.008542654962367918,0.018433389713123506,0.01571572607795077,0.013148048106305937,0.0021287900059900073,0.009605064162697591
sparsit,0.01523515375502504,0.0,0.059044939396385464,0.15177964367566243,0.031964812725839196,0.06993782326490562,0.06909567809450738,0.050015365460433406,0.0221524972458495,0.009087053171573893
louisa,0.01138256505093035,0.059044939396385464,0.0,0.09161212691194748,0.037494086313731384,0.042717323053313806,0.06486996520702308,0.010265102863829059,0.04526739233720662,0.025463377877264874
gradgrind,0.01753629549147933,0.15177964367566243,0.09161212691194748,0.0,0.09800515772154107,0.061235344633643815,0.1207031082154739,0.02079898343786423,0.10068487059023991,0.01741406047708611
tom,0.008542654962367918,0.031964812725839196,0.037494086313731384,0.09800515772154107,0.0,0.0958941532942419,0.05412322186406372,0.08211405694252244,0.005739827689104167,0.03271482379756623
rachael,0.018433389713123506,0.06993782326490562,0.042717323053313806,0.061235344633643815,0.0958941532942419,0.0,0.11996029634985651,0.06221272454788473,0.10382256497780483,0.09265751741708667
stephen,0.01571572607795077,0.06909567809450738,0.06486996520702308,0.1207031082154739,0.05412322186406372,0.11996029634985651,0.0,0.1524574608802421,0.0625364378668862,0.09043185371774519
sissy,0.013148048106305937,0.050015365460433406,0.010265102863829059,0.02079898343786423,0.08211405694252244,0.06221272454788473,0.1524574608802421,0.0,0.18192232522336343,0.07667313430269523
harthouse,0.0021287900059900073,0.0221524972458495,0.04526739233720662,0.10068487059023991,0.005739827689104167,0.10382256497780483,0.0625364378668862,0.18192232522336343,0.0,0.1304810664982448
bitzer,0.009605064162697591,0.009087053171573893,0.025463377877264874,0.01741406047708611,0.03271482379756623,0.09265751741708667,0.09043185371774519,0.07667313430269523,0.1304810664982448,0.0
