,denise,mouret,hutin,bourdoncle,pauline,robineau,favier,madame desforges,baudu,henriette
denise,0.0,0.024407327484947602,0.0074785239541327155,0.006681113532740308,0.0005532324885428296,0.0028589602195708426,0.008316089373685939,0.0059055457580977815,0.0012573175281206277,0.016696965089146122
mouret,0.024407327484947602,0.0,0.02731544543676084,0.0007370372439254363,0.023062311735101416,0.023124826863646624,0.011638040618388627,0.005200473073377905,0.019379143062421784,0.001157471067850211
hutin,0.0074785239541327155,0.02731544543676084,0.0,0.11375714281973179,0.02706576087365152,0.04448824800534534,0.01033319537578377,0.03964798174314693,0.10346828311629643,0.0718162998330341
bourdoncle,0.006681113532740308,0.0007370372439254363,0.11375714281973179,0.0,0.13731324473616122,0.09339471398401429,0.09680788120594548,0.06722236048379387,0.05913884452127937,0.06534773918697008
pauline,0.0005532324885428296,0.023062311735101416,0.02706576087365152,0.13731324473616122,0.0,0.0780316785849426,0.04197327238725199,0.0687349653818794,0.1375228243585567,0.10011018134861745
robineau,0.0028589602195708426,0.023124826863646624,0.04448824800534534,0.09339471398401429,0.0780316785849426,0.0,0.07019933721644497,0.10418519989177347,0.06519214654827629,0.15316178475042252
favier,0.008316089373685939,0.011638040618388627,0.01033319537578377,0.09680788120594548,0.04197327238725199,0.07019933721644497,0.0,0.04583082350940186,0.1266165420847854,0.06849858183258607
madame desforges,0.0059055457580977815,0.005200473073377905,0.03964798174314693,0.06722236048379387,0.0687349653818794,0.10418519989177347,0.04583082350940186,0.0,0.12853852685637707,0.06214508138032201
baudu,0.0012573175281206277,0.019379143062421784,0.10346828311629643,0.05913884452127937,0.1375228243585567,0.06519214654827629,0.1266165420847854,0.12853852685637707,0.0,0.17865856812025951
henriette,0.016696965089146122,0.001157471067850211,0.0718162998330341,0.06534773918697008,0.10011018134861745,0.15316178475042252,0.06849858183258607,0.06214508138032201,0.17865856812025951,0.0
