,gervaise,coupeau,lantier,nana,virginie,boche,goujet,mon dieu,madame lerat,madame boche
gervaise,0.0,0.009467291125894116,0.00304973285470854,0.009483020365284884,0.0008807249136848491,0.0015199261898380875,0.0007668017078530355,0.0005380866733890104,0.0023606399157290493,0.0007632774604651119
coupeau,0.009467291125894116,0.0,0.009541734932472474,0.016089242202581715,0.01852351348731751,0.002042151900152656,0.006402348676077874,0.0016505972499223978,0.002315046693470508,0.007009734956150108
lantier,0.00304973285470854,0.009541734932472474,0.0,0.11513229052751905,0.05899655482393761,0.08128335232886238,0.06778107345230068,0.05103761977738398,0.029493619969250432,0.07894812118672567
nana,0.009483020365284884,0.016089242202581715,0.11513229052751905,0.0,0.18144198051828578,0.16367915131462993,0.07148732866951431,0.025093318877454456,0.01267836419411199,0.2249487280623888
virginie,0.0008807249136848491,0.01852351348731751,0.05899655482393761,0.18144198051828578,0.0,0.04504248704190798,0.03225353293743709,0.04468267780859311,0.025853353214916688,0.03193759870980239
boche,0.0015199261898380875,0.002042151900152656,0.08128335232886238,0.16367915131462993,0.04504248704190798,0.0,0.0735794339567297,0.1875872562251752,0.07753362462955485,0.03713537106001834
goujet,0.0007668017078530355,0.006402348676077874,0.06778107345230068,0.07148732866951431,0.03225353293743709,0.0735794339567297,0.0,0.15920021270685375,0.10051962584572185,0.1521599937973811
mon dieu,0.0005380866733890104,0.0016505972499223978,0.05103761977738398,0.025093318877454456,0.04468267780859311,0.1875872562251752,0.15920021270685375,0.0,0.09636940268933493,0.3778965488288489
madame lerat,0.0023606399157290493,0.002315046693470508,0.029493619969250432,0.01267836419411199,0.025853353214916688,0.07753362462955485,0.10051962584572185,0.09636940268933493,0.0,0.2719725803740754
madame boche,0.0007632774604651119,0.007009734956150108,0.07894812118672567,0.2249487280623888,0.03193759870980239,0.03713537106001834,0.1521599937973811,0.3778965488288489,0.2719725803740754,0.0
