,archy,ferguson,stillman,ham sandwich,flint buckner,buckner,sherlock holmes,holmes,fetlock jones,hillyer
archy,0.0,0.09157108015232966,0.05696340376235472,0.046148332072757293,0.05812436188869739,0.13151812758904927,0.07729060450899003,0.03988394479896641,0.056877325197683196,0.07206767426021712
ferguson,0.09157108015232966,0.0,0.11068625395042651,0.02485114080571529,0.05544208871166277,0.04797321010697078,0.09456550398416072,0.08577007360891184,0.08694981087599243,0.13528345629764266
stillman,0.05696340376235472,0.11068625395042651,0.0,0.07239632609852113,0.09122018839907198,0.15461077339899465,0.0882533406331895,0.05798064682949507,0.04958472801611219,0.07032440304005622
ham sandwich,0.046148332072757293,0.02485114080571529,0.07239632609852113,0.0,0.05228876160341081,0.0866670627073772,0.0535287860461156,0.05051752326227828,0.046754284549305705,0.08804566727754204
flint buckner,0.05812436188869739,0.05544208871166277,0.09122018839907198,0.05228876160341081,0.0,0.08865820186069218,0.05676071289241753,0.07940261281886024,0.06277814153425239,0.08344126129999604
buckner,0.13151812758904927,0.04797321010697078,0.15461077339899465,0.0866670627073772,0.08865820186069218,0.0,0.22460988346422728,0.22056833625639624,0.16013840628154363,0.17449199113053077
sherlock holmes,0.07729060450899003,0.09456550398416072,0.0882533406331895,0.0535287860461156,0.05676071289241753,0.22460988346422728,0.0,0.033619205607472884,0.04406079413765222,0.051958634070822914
holmes,0.03988394479896641,0.08577007360891184,0.05798064682949507,0.05051752326227828,0.07940261281886024,0.22056833625639624,0.033619205607472884,0.0,0.04620933550777269,0.04948920972668478
fetlock jones,0.056877325197683196,0.08694981087599243,0.04958472801611219,0.046754284549305705,0.06277814153425239,0.16013840628154363,0.04406079413765222,0.04620933550777269,0.0,0.04599685739472956
hillyer,0.07206767426021712,0.13528345629764266,0.07032440304005622,0.08804566727754204,0.08344126129999604,0.17449199113053077,0.051958634070822914,0.04948920972668478,0.04599685739472956,0.0
