,meg,trotty,toby,alderman,richard,joseph,tugby,fish,lilian,toby veck
meg,0.0,0.035559183229596635,0.20071076549129263,0.0508347745808979,0.007658351294341219,0.08500645389984035,0.05953584893578266,0.05145266584671689,0.008522623655461158,0.02325599876558661
trotty,0.035559183229596635,0.0,0.20918229907784539,0.03485422047060415,0.02516400007843923,0.054777997782165286,0.09554473201986459,0.028818145008171116,0.02250503750854747,0.026342159026338914
toby,0.20071076549129263,0.20918229907784539,0.0,0.05167947426710754,0.2170810315001352,0.04973825235251829,0.4050219569348469,0.058331506202430536,0.31416576163979115,0.0021475821249962003
alderman,0.0508347745808979,0.03485422047060415,0.05167947426710754,0.0,0.2228172553286524,0.059373183931009516,0.36880809054076136,0.029292477442059525,0.2694916548582881,0.13646762718124247
richard,0.007658351294341219,0.02516400007843923,0.2170810315001352,0.2228172553286524,0.0,0.2581437029768999,0.08623168064305901,0.08951199670287872,0.028129382230739942,0.1842479150577347
joseph,0.08500645389984035,0.054777997782165286,0.04973825235251829,0.059373183931009516,0.2581437029768999,0.0,0.38468315669124736,0.024322570254018985,0.299146819384161,0.2165472152292719
tugby,0.05953584893578266,0.09554473201986459,0.4050219569348469,0.36880809054076136,0.08623168064305901,0.38468315669124736,0.0,0.2835083937910065,0.05780420573121423,0.6149282418026981
fish,0.05145266584671689,0.028818145008171116,0.058331506202430536,0.029292477442059525,0.08951199670287872,0.024322570254018985,0.2835083937910065,0.0,0.2543054779440286,0.26790762540335616
lilian,0.008522623655461158,0.02250503750854747,0.31416576163979115,0.2694916548582881,0.028129382230739942,0.299146819384161,0.05780420573121423,0.2543054779440286,0.0,0.5487348072818022
toby veck,0.02325599876558661,0.026342159026338914,0.0021475821249962003,0.13646762718124247,0.1842479150577347,0.2165472152292719,0.6149282418026981,0.26790762540335616,0.5487348072818022,0.0
