,joe,herbert,estella,jaggers,biddy,wemmick,pip,havisham,pumblechook,wopsle
joe,0.0,0.14371624540806602,0.08204990426962343,0.06800353282134,0.009940911411475274,0.08356907381371674,0.03461175968449346,0.02727215055628476,0.003250613976226373,0.0076350369934335425
herbert,0.14371624540806602,0.0,0.10324283017080858,0.05323324715506691,0.17806806875714606,0.02291023078607034,0.0659480621663124,0.12393487720226183,0.2165319110002053,0.19382045585003854
estella,0.08204990426962343,0.10324283017080858,0.0,0.07503071563668101,0.10429304037547808,0.06543084595306342,0.024546956235845765,0.019977296846949332,0.08500408168446806,0.05078575426461366
jaggers,0.06800353282134,0.05323324715506691,0.07503071563668101,0.0,0.14372306667424478,0.02719675470044116,0.0405489674189061,0.0736019451408258,0.15044283486790996,0.11188972922068142
biddy,0.009940911411475274,0.17806806875714606,0.10429304037547808,0.14372306667424478,0.0,0.18228263418882767,0.0822065946183201,0.07760890221266611,0.04609859380431526,0.061820959471380214
wemmick,0.08356907381371674,0.02291023078607034,0.06543084595306342,0.02719675470044116,0.18228263418882767,0.0,0.05876230595261739,0.11391283047500773,0.20021092550152816,0.1696549467557694
pip,0.03461175968449346,0.0659480621663124,0.024546956235845765,0.0405489674189061,0.0822065946183201,0.05876230595261739,0.0,0.057889756624994834,0.09050382420329686,0.061653911125669765
havisham,0.02727215055628476,0.12393487720226183,0.019977296846949332,0.0736019451408258,0.07760890221266611,0.11391283047500773,0.057889756624994834,0.0,0.05386924829878766,0.0342204310180623
pumblechook,0.003250613976226373,0.2165319110002053,0.08500408168446806,0.15044283486790996,0.04609859380431526,0.20021092550152816,0.09050382420329686,0.05386924829878766,0.0,0.04539933650132291
wopsle,0.0076350369934335425,0.19382045585003854,0.05078575426461366,0.11188972922068142,0.061820959471380214,0.1696549467557694,0.061653911125669765,0.0342204310180623,0.04539933650132291,0.0
