,barbara,makar alexievitch,pokrovski,barbara alexievna,thedora,makar dievushkin,anna thedorovna,bwikov,rataziaev,anna
barbara,0.0,0.052101962865011564,0.16639840110887485,0.023141165528241518,0.01760300168798184,0.011840004550846448,0.06588892305235641,0.1097663917464351,0.005749160608808413,0.12566936981857282
makar alexievitch,0.052101962865011564,0.0,0.17921864809258753,0.012153819405621097,0.007236754444370748,0.0033130391162709736,0.052932465117933765,0.04705344625614528,0.026423395289256222,0.10456341089640953
pokrovski,0.16639840110887485,0.17921864809258753,0.0,0.27736500543816445,0.3512095199199558,0.3297221765308331,0.07696821922609338,0.3917614547174547,0.25896519459620493,0.027350968586882546
barbara alexievna,0.023141165528241518,0.012153819405621097,0.27736500543816445,0.0,0.046183672111201314,0.014050169157989725,0.1046191968720372,0.11765211024403713,0.07941636979201966,0.17413038964677346
thedora,0.01760300168798184,0.007236754444370748,0.3512095199199558,0.046183672111201314,0.0,0.018429310818883465,0.16677778226124562,0.11618861440061032,0.10663695088111459,0.30686121417546913
makar dievushkin,0.011840004550846448,0.0033130391162709736,0.3297221765308331,0.014050169157989725,0.018429310818883465,0.0,0.18490348264526152,0.12427208077261741,0.1241105919975759,0.3000750388360752
anna thedorovna,0.06588892305235641,0.052932465117933765,0.07696821922609338,0.1046191968720372,0.16677778226124562,0.18490348264526152,0.0,0.31888776216181336,0.1342926099885742,0.10011439523645635
bwikov,0.1097663917464351,0.04705344625614528,0.3917614547174547,0.11765211024403713,0.11618861440061032,0.12427208077261741,0.31888776216181336,0.0,0.25461966452164186,0.4865784878489466
rataziaev,0.005749160608808413,0.026423395289256222,0.25896519459620493,0.07941636979201966,0.10663695088111459,0.1241105919975759,0.1342926099885742,0.25461966452164186,0.0,0.34645291823175933
anna,0.12566936981857282,0.10456341089640953,0.027350968586882546,0.17413038964677346,0.30686121417546913,0.3000750388360752,0.10011439523645635,0.4865784878489466,0.34645291823175933,0.0
