,pierre,marie,lourdes,bernadette,m. de guersaint,hyacinthe,raymonde,berthaud,gerard,la grivotte
pierre,0.0,0.001327891242445749,0.002570732572016963,0.007265082071364576,0.0006662325190748239,0.003231275834191496,0.0032602901905028343,0.009653933423895004,0.006746847170870047,0.0021789280175486627
marie,0.001327891242445749,0.0,0.012368290821613016,0.01880562034936398,0.011416421699178244,0.006581918564215907,0.008375300759630304,0.012395325333684266,0.013968158726103795,0.00277970089175543
lourdes,0.002570732572016963,0.012368290821613016,0.0,0.012959361702889966,0.02501665390859305,0.00790997856165691,0.007103528679087018,0.016259154943255503,0.011128904039864504,0.004328967549988374
bernadette,0.007265082071364576,0.01880562034936398,0.012959361702889966,0.0,0.06607874495633921,0.049796010045058466,0.031842885800423736,0.03653175281565861,0.03974914317327235,0.02927335706814961
m. de guersaint,0.0006662325190748239,0.011416421699178244,0.02501665390859305,0.06607874495633921,0.0,0.08847915941223575,0.018475095230435643,0.055825521671852736,0.021648200292807385,0.013134754109205024
hyacinthe,0.003231275834191496,0.006581918564215907,0.00790997856165691,0.049796010045058466,0.08847915941223575,0.0,0.050440021490977476,0.04138402761326204,0.06289603805573461,0.004612004239406511
raymonde,0.0032602901905028343,0.008375300759630304,0.007103528679087018,0.031842885800423736,0.018475095230435643,0.050440021490977476,0.0,0.04761155190295149,0.021844569029512775,0.05963984443232753
berthaud,0.009653933423895004,0.012395325333684266,0.016259154943255503,0.03653175281565861,0.055825521671852736,0.04138402761326204,0.04761155190295149,0.0,0.040900387936361804,0.09510200336210507
gerard,0.006746847170870047,0.013968158726103795,0.011128904039864504,0.03974914317327235,0.021648200292807385,0.06289603805573461,0.021844569029512775,0.040900387936361804,0.0,0.11529723745269792
la grivotte,0.0021789280175486627,0.00277970089175543,0.004328967549988374,0.02927335706814961,0.013134754109205024,0.004612004239406511,0.05963984443232753,0.09510200336210507,0.11529723745269792,0.0
