,berthe,auguste,madame josserand,duveyrier,trublot,bachelard,monsieur josserand,hortense,clotilde,marie
berthe,0.0,0.009704996243231172,0.002860981946619954,0.011571688271544995,0.006785789547523623,0.013042060367943373,0.0024286100611582784,0.0005468554449071917,0.007225665387180951,0.016047090116860195
auguste,0.009704996243231172,0.0,0.18918924988405397,0.019871440652942173,0.08885314933967393,0.02912236585821626,0.10649591203004823,0.07746865802481663,0.015177288012823432,0.07064449726065636
madame josserand,0.002860981946619954,0.18918924988405397,0.0,0.04088437898609801,0.025254134992149964,0.027062378191985557,0.0038504571575345733,0.001743622774334152,0.031202412087327484,0.034903796996286325
duveyrier,0.011571688271544995,0.019871440652942173,0.04088437898609801,0.0,0.14114077797683344,0.042261739934067934,0.13701932895765398,0.1011122017978241,0.01906972163699043,0.07985324213838199
trublot,0.006785789547523623,0.08885314933967393,0.025254134992149964,0.14114077797683344,0.0,0.06117414159888835,0.04085108011619704,0.037407394081704896,0.0729029355039204,0.03242823388177441
bachelard,0.013042060367943373,0.02912236585821626,0.027062378191985557,0.042261739934067934,0.06117414159888835,0.0,0.11452213710197186,0.06745095167058118,0.0688393547336067,0.06381884567736355
monsieur josserand,0.0024286100611582784,0.10649591203004823,0.0038504571575345733,0.13701932895765398,0.04085108011619704,0.11452213710197186,0.0,0.013792847346156113,0.14070465260324727,0.05602592887017302
hortense,0.0005468554449071917,0.07746865802481663,0.001743622774334152,0.1011122017978241,0.037407394081704896,0.06745095167058118,0.013792847346156113,0.0,0.2049426331606084,0.08348791063511275
clotilde,0.007225665387180951,0.015177288012823432,0.031202412087327484,0.01906972163699043,0.0729029355039204,0.0688393547336067,0.14070465260324727,0.2049426331606084,0.0,0.20891279247852731
marie,0.016047090116860195,0.07064449726065636,0.034903796996286325,0.07985324213838199,0.03242823388177441,0.06381884567736355,0.05602592887017302,0.08348791063511275,0.20891279247852731,0.0
