,pecksniff,tom,martin,jonas,mark,mrs gamp,john,chuzzlewit,tapley,bailey
pecksniff,0.0,0.14589434962635256,0.04599393048183267,0.010423221133051599,0.015100791256784209,0.024797952619991057,0.00945011553133159,0.0031471467262735174,0.007463759754068646,0.013695974458305001
tom,0.14589434962635256,0.0,0.09080895851362948,0.04951405269421062,0.029394443848242836,0.030718552426675858,0.0007111850547544076,0.010716283264503062,0.014085492186056899,0.024574856166753083
martin,0.04599393048183267,0.09080895851362948,0.0,0.030976401797319513,0.0024065523682112243,0.026681163566189724,0.011717406072216136,0.005316140213076967,0.0004824788839561045,0.023102085467565644
jonas,0.010423221133051599,0.04951405269421062,0.030976401797319513,0.0,0.045047848660072144,0.01815413126557598,0.024089370641732926,0.016204156982254317,0.023468926881048815,0.00880914257390401
mark,0.015100791256784209,0.029394443848242836,0.0024065523682112243,0.045047848660072144,0.0,0.07235965220779866,0.041067547388283054,0.03352306071346929,0.0035825915365384187,0.04578515716420053
mrs gamp,0.024797952619991057,0.030718552426675858,0.026681163566189724,0.01815413126557598,0.07235965220779866,0.0,0.064181289136012,0.049762400516105074,0.041458040673119145,0.025309835811075813
john,0.00945011553133159,0.0007111850547544076,0.011717406072216136,0.024089370641732926,0.041067547388283054,0.064181289136012,0.0,0.0497114343131214,0.03554977537823892,0.09335651398604694
chuzzlewit,0.0031471467262735174,0.010716283264503062,0.005316140213076967,0.016204156982254317,0.03352306071346929,0.049762400516105074,0.0497114343131214,0.0,0.040093821673745395,0.07507859293604217
tapley,0.007463759754068646,0.014085492186056899,0.0004824788839561045,0.023468926881048815,0.0035825915365384187,0.041458040673119145,0.03554977537823892,0.040093821673745395,0.0,0.11848654812490952
bailey,0.013695974458305001,0.024574856166753083,0.023102085467565644,0.00880914257390401,0.04578515716420053,0.025309835811075813,0.09335651398604694,0.07507859293604217,0.11848654812490952,0.0
