,rashleigh,andrew,rob roy,vernon,bailie,owen,macgregor,jarvie,rob,osbaldistone
rashleigh,0.0,0.07286650044803675,0.1925796431126035,0.01093230822740403,0.1563122134490948,0.08936993221980667,0.12794170513491707,0.11509789835885607,0.11336296398908087,0.010958140305656056
andrew,0.07286650044803675,0.0,0.25569839525398397,0.10847908193834559,0.10229899385722825,0.0697925585072558,0.133973670667136,0.055695168795741476,0.10367848286275869,0.03456519384520904
rob roy,0.1925796431126035,0.25569839525398397,0.0,0.2339388990915619,0.30588814579896645,0.2057226085664118,0.07392882820475603,0.2400527346785118,0.04462421872134993,0.12475666430948122
vernon,0.01093230822740403,0.10847908193834559,0.2339388990915619,0.0,0.3251435404472572,0.1315828617754757,0.2662464168444169,0.2432044475836728,0.203343074398839,0.05037944088462911
bailie,0.1563122134490948,0.10229899385722825,0.30588814579896645,0.3251435404472572,0.0,0.23338457629264775,0.11319481043437941,0.028887023056613375,0.14825626613266513,0.14729086241360714
owen,0.08936993221980667,0.0697925585072558,0.2057226085664118,0.1315828617754757,0.23338457629264775,0.0,0.15568440089400457,0.1284496316580674,0.09339110135803447,0.05181218738559478
macgregor,0.12794170513491707,0.133973670667136,0.07392882820475603,0.2662464168444169,0.11319481043437941,0.15568440089400457,0.0,0.20012169128047244,0.06754235406647767,0.15743135233130082
jarvie,0.11509789835885607,0.055695168795741476,0.2400527346785118,0.2432044475836728,0.028887023056613375,0.1284496316580674,0.20012169128047244,0.0,0.13301678077287019,0.13198015863348947
rob,0.11336296398908087,0.10367848286275869,0.04462421872134993,0.203343074398839,0.14825626613266513,0.09339110135803447,0.06754235406647767,0.13301678077287019,0.0,0.1138129636050897
osbaldistone,0.010958140305656056,0.03456519384520904,0.12475666430948122,0.05037944088462911,0.14729086241360714,0.05181218738559478,0.15743135233130082,0.13198015863348947,0.1138129636050897,0.0
