,crawford,edmund,thomas,rushworth,norris,fanny,grant,william,julia,bertram
crawford,0.0,0.01656564841109506,0.022196321894355452,0.0083395708337964,0.021784177358341202,0.002304308056029932,0.0058987612542663135,0.007071967083162626,0.0029320254044623915,0.00472594085803183
edmund,0.01656564841109506,0.0,0.03270371979122013,0.008924216334189747,0.017812789077610382,0.002568992119675125,0.00407556656343398,0.014727817847628806,0.003340456035095447,0.0032591665975934096
thomas,0.022196321894355452,0.03270371979122013,0.0,0.06660653456483989,0.02795901227558617,0.014594883132391956,0.026694371907653915,0.012347094004584457,0.04059631638024215,0.029267293935730614
rushworth,0.0083395708337964,0.008924216334189747,0.06660653456483989,0.0,0.06953970123893627,0.07649351948766776,0.030212498143019025,0.1281111874856025,0.0073344868304080595,0.02072520689135501
norris,0.021784177358341202,0.017812789077610382,0.02795901227558617,0.06953970123893627,0.0,0.09762195696328756,0.029183618298855803,0.098119031241992,0.04433260496301187,0.013977014200444044
fanny,0.002304308056029932,0.002568992119675125,0.014594883132391956,0.07649351948766776,0.09762195696328756,0.0,0.1483451771420779,0.0572874524667646,0.08672357741104642,0.11248176324625696
grant,0.0058987612542663135,0.00407556656343398,0.026694371907653915,0.030212498143019025,0.029183618298855803,0.1483451771420779,0.0,0.19149589975701733,0.06856216141787694,0.03205420631805433
william,0.007071967083162626,0.014727817847628806,0.012347094004584457,0.1281111874856025,0.098119031241992,0.0572874524667646,0.19149589975701733,0.0,0.18305130874646433,0.1991855412136692
julia,0.0029320254044623915,0.003340456035095447,0.04059631638024215,0.0073344868304080595,0.04433260496301187,0.08672357741104642,0.06856216141787694,0.18305130874646433,0.0,0.05859553999720101
bertram,0.00472594085803183,0.0032591665975934096,0.029267293935730614,0.02072520689135501,0.013977014200444044,0.11248176324625696,0.03205420631805433,0.1991855412136692,0.05859553999720101,0.0
