,rashleigh,andrew,rob roy,vernon,bailie,owen,macgregor,jarvie,rob,osbaldistone
rashleigh,0.0,0.07470578984168717,0.18338029795477775,0.010866092262320154,0.16328434341539938,0.09083980689078364,0.12673342561872072,0.12089250270850077,0.11170782192282726,0.011122568597211483
andrew,0.07470578984168717,0.0,0.24760353969309973,0.1095995364280045,0.10791591931167722,0.07010537871894905,0.1332619198646576,0.05908516596980762,0.10142156791024722,0.03475228438650854
rob roy,0.18338029795477775,0.24760353969309973,0.0,0.2279586656905821,0.30591385012207223,0.202126071502882,0.07477469398865857,0.2407116341012663,0.04593236277396677,0.12480141491219486
vernon,0.010866092262320154,0.1095995364280045,0.2279586656905821,0.0,0.33599224475615125,0.13233644882586884,0.26673846817193403,0.25116007445696936,0.20140896253608287,0.05141305878317451
bailie,0.16328434341539938,0.10791591931167722,0.30591385012207223,0.33599224475615125,0.0,0.24120381545650518,0.11241841853462124,0.030584720651195118,0.14764803842491195,0.1513500450225908
owen,0.09083980689078364,0.07010537871894905,0.202126071502882,0.13233644882586884,0.24120381545650518,0.0,0.1562497695820086,0.13321850094207247,0.0918661762398219,0.05269574657853071
macgregor,0.12673342561872072,0.1332619198646576,0.07477469398865857,0.26673846817193403,0.11241841853462124,0.1562497695820086,0.0,0.20225850483679475,0.06810826256671733,0.15684833039081889
jarvie,0.12089250270850077,0.05908516596980762,0.2407116341012663,0.25116007445696936,0.030584720651195118,0.13321850094207247,0.20225850483679475,0.0,0.1318039332076685,0.134846991540385
rob,0.11170782192282726,0.10142156791024722,0.04593236277396677,0.20140896253608287,0.14764803842491195,0.0918661762398219,0.06810826256671733,0.1318039332076685,0.0,0.11384454425303758
osbaldistone,0.011122568597211483,0.03475228438650854,0.12480141491219486,0.05141305878317451,0.1513500450225908,0.05269574657853071,0.15684833039081889,0.134846991540385,0.11384454425303758,0.0
