,gervaise,coupeau,lantier,nana,virginie,boche,goujet,mon dieu,madame lerat,madame boche
gervaise,0.0,0.009390555808703516,0.003158769213620385,0.01018027500266246,0.0008632887226063283,0.0014719876279866327,0.0007821512745722882,0.0005665037289723153,0.0024690825762489314,0.000703964002100511
coupeau,0.009390555808703516,0.0,0.0094179450746685,0.017305054263582823,0.018229710300266745,0.0019631952842713743,0.006530089583666101,0.001747131867390705,0.0024253238631418384,0.006048537911115174
lantier,0.003158769213620385,0.0094179450746685,0.0,0.12032575322687553,0.058924678608513324,0.07886073020770101,0.06884917388271522,0.05367857288613405,0.029093641127904087,0.07635742231036265
nana,0.01018027500266246,0.017305054263582823,0.12032575322687553,0.0,0.1851402756339914,0.1645361081295571,0.07406699848101334,0.026602494452913645,0.012617618663229043,0.21994529578641006
virginie,0.0008632887226063283,0.018229710300266745,0.058924678608513324,0.1851402756339914,0.0,0.042979836353821375,0.032732570570369296,0.047188545080653586,0.025598331451522426,0.029878481508198225
boche,0.0014719876279866327,0.0019631952842713743,0.07886073020770101,0.1645361081295571,0.042979836353821375,0.0,0.07379676958194394,0.19336270306162415,0.0805633478699921,0.0343236725370307
goujet,0.0007821512745722882,0.006530089583666101,0.06884917388271522,0.07406699848101334,0.032732570570369296,0.07379676958194394,0.0,0.16678864792945494,0.10368731269766765,0.1462957816426991
mon dieu,0.0005665037289723153,0.001747131867390705,0.05367857288613405,0.026602494452913645,0.047188545080653586,0.19336270306162415,0.16678864792945494,0.0,0.10021277590321799,0.37891758385046537
madame lerat,0.0024690825762489314,0.0024253238631418384,0.029093641127904087,0.012617618663229043,0.025598331451522426,0.0805633478699921,0.10368731269766765,0.10021277590321799,0.0,0.2689215538155949
madame boche,0.000703964002100511,0.006048537911115174,0.07635742231036265,0.21994529578641006,0.029878481508198225,0.0343236725370307,0.1462957816426991,0.37891758385046537,0.2689215538155949,0.0
