,roland,roland graeme,catherine,mary,douglas,catherine seyton,lindesay,adam woodcock,seyton,fleming
roland,0.0,0.0974697803373446,0.028403456127402558,0.010772347866897097,0.012746054095184053,0.0018994767233080484,0.05372436785649605,0.011469748752443408,0.007112202760780657,0.008750013119711835
roland graeme,0.0974697803373446,0.0,0.09598967327226042,0.05779111418878668,0.055368163552612294,0.002501546686232553,0.040999524248531344,0.0034856903406437064,0.04499917811376149,0.012848515580200458
catherine,0.028403456127402558,0.09598967327226042,0.0,0.03127981316647926,0.01255868897391575,0.016243553762618552,0.1273778159702557,0.11169472750173762,0.02496505592780367,0.003624394583286022
mary,0.010772347866897097,0.05779111418878668,0.03127981316647926,0.0,0.023693984536255958,0.025621484004678483,0.10700638584160097,0.135376707096927,0.00925825643663779,0.003942807786716778
douglas,0.012746054095184053,0.055368163552612294,0.01255868897391575,0.023693984536255958,0.0,0.07556112169245018,0.15537249442096987,0.2656693821485327,0.02289588292746548,0.011466585814899701
catherine seyton,0.0018994767233080484,0.002501546686232553,0.016243553762618552,0.025621484004678483,0.07556112169245018,0.0,0.11135214273748414,0.17527869743386057,0.06434696684002293,0.018358211093027092
lindesay,0.05372436785649605,0.040999524248531344,0.1273778159702557,0.10700638584160097,0.15537249442096987,0.11135214273748414,0.0,0.1385271128841476,0.22246575693895776,0.1676911092402946
adam woodcock,0.011469748752443408,0.0034856903406437064,0.11169472750173762,0.135376707096927,0.2656693821485327,0.17527869743386057,0.1385271128841476,0.0,0.28324489717157614,0.270931157286229
seyton,0.007112202760780657,0.04499917811376149,0.02496505592780367,0.00925825643663779,0.02289588292746548,0.06434696684002293,0.22246575693895776,0.28324489717157614,0.0,0.08681648431882827
fleming,0.008750013119711835,0.012848515580200458,0.003624394583286022,0.003942807786716778,0.011466585814899701,0.018358211093027092,0.1676911092402946,0.270931157286229,0.08681648431882827,0.0
