,harris,mont blanc,neckar,conrad,baedeker,peter,riley,nicodemus,huss,gretchen
harris,0.0,0.09127126264336531,0.010238255229893274,0.037155686195310955,0.005587653478998107,0.011251730780673349,0.029538922561031515,0.010717512136608601,0.03186065990744664,0.036452282659082326
mont blanc,0.09127126264336531,0.0,0.5643243397022496,0.4459667843007391,0.07869441106371719,0.12060591243196186,0.2959801466207759,0.3578047273481118,0.3861796230452617,0.28312307844830586
neckar,0.010238255229893274,0.5643243397022496,0.0,0.09850487106527127,0.4531570814131615,0.39040426405941864,0.230668937838895,0.14897815355529684,0.11971419941296704,0.26462533238162356
conrad,0.037155686195310955,0.4459667843007391,0.09850487106527127,0.0,0.3300619164632831,0.26469063421150757,0.14303665352224879,0.07778573483099219,0.04954054823541838,0.1584373114747082
baedeker,0.005587653478998107,0.07869441106371719,0.4531570814131615,0.3300619164632831,0.0,0.07201085386360807,0.18713391508292823,0.22024279152120727,0.2322418342684627,0.1750791489190288
peter,0.011251730780673349,0.12060591243196186,0.39040426405941864,0.26469063421150757,0.07201085386360807,0.0,0.15727696224702295,0.12642560236524591,0.17152267706269836,0.12925781053367327
riley,0.029538922561031515,0.2959801466207759,0.230668937838895,0.14303665352224879,0.18713391508292823,0.15727696224702295,0.0,0.064131006550981,0.09237752908068649,0.18031365929106496
nicodemus,0.010717512136608601,0.3578047273481118,0.14897815355529684,0.07778573483099219,0.22024279152120727,0.12642560236524591,0.064131006550981,0.0,0.02824154543906072,0.11863775508458474
huss,0.03186065990744664,0.3861796230452617,0.11971419941296704,0.04954054823541838,0.2322418342684627,0.17152267706269836,0.09237752908068649,0.02824154543906072,0.0,0.05978937314734451
gretchen,0.036452282659082326,0.28312307844830586,0.26462533238162356,0.1584373114747082,0.1750791489190288,0.12925781053367327,0.18031365929106496,0.11863775508458474,0.05978937314734451,0.0
