,varney,tressilian,elizabeth,lambourne,janet,amy,foster,blount,michael lambourne,anthony foster
varney,0.0,0.04326220532495822,0.00787860854292034,0.012900882141648945,0.012711416933781444,0.004225716343130988,0.0010268761429823277,0.016154166628982555,0.01695167974390842,0.003371543980706601
tressilian,0.04326220532495822,0.0,0.06958004086682436,0.028787255133615654,0.09668842602861702,0.01847968101515434,0.02428581137623696,0.009896755266973551,0.008291242998211854,0.010541808374539044
elizabeth,0.00787860854292034,0.06958004086682436,0.0,0.1602752932333974,0.11813121353304702,0.027704112420879834,0.07578898539576097,0.012998163794578601,0.10291014822374238,0.08923910237137105
lambourne,0.012900882141648945,0.028787255133615654,0.1602752932333974,0.0,0.10499333409775617,0.035057511297434285,0.01810558823934529,0.06125594843584469,0.0011932605075925722,0.008309726446284431
janet,0.012711416933781444,0.09668842602861702,0.11813121353304702,0.10499333409775617,0.0,0.10359932146481192,0.05622739463695088,0.1276376777204471,0.07243226687150556,0.032096409513086274
amy,0.004225716343130988,0.01847968101515434,0.027704112420879834,0.035057511297434285,0.10359932146481192,0.0,0.04625733645053515,0.07277463900459737,0.06093089033573454,0.03308486938436322
foster,0.0010268761429823277,0.02428581137623696,0.07578898539576097,0.01810558823934529,0.05622739463695088,0.04625733645053515,0.0,0.1659048546765587,0.06178039827556424,0.010607963774073487
blount,0.016154166628982555,0.009896755266973551,0.012998163794578601,0.06125594843584469,0.1276376777204471,0.07277463900459737,0.1659048546765587,0.0,0.1842733455323339,0.1601327909351423
michael lambourne,0.01695167974390842,0.008291242998211854,0.10291014822374238,0.0011932605075925722,0.07243226687150556,0.06093089033573454,0.06178039827556424,0.1842733455323339,0.0,0.03898150971707385
anthony foster,0.003371543980706601,0.010541808374539044,0.08923910237137105,0.008309726446284431,0.032096409513086274,0.03308486938436322,0.010607963774073487,0.1601327909351423,0.03898150971707385,0.0
