,alaric,burns,burke,barnum,darley,mcfadden,brown,duffy,red mcfadden,p. t. barnum
alaric,0.0,0.10468446837798337,0.3553743674507314,0.3211066203069367,0.3350620211150586,0.21945716335458348,0.2707084243484268,0.1335746434165648,0.34774383334696496,0.0905708269195753
burns,0.10468446837798337,0.0,0.22793999730847606,0.19369201911193243,0.18839584814126947,0.1732047892793506,0.14788694840647665,0.10725077410084626,0.3467205291051068,0.08954752267771716
burke,0.3553743674507314,0.22793999730847606,0.0,0.03108188520698747,0.20677875809068857,0.2604250126229146,0.03397845011533517,0.27388438671585974,0.2313092172188207,0.011165647431652048
barnum,0.3211066203069367,0.19369201911193243,0.03108188520698747,0.0,0.18889360415272732,0.24930485014565804,0.06418625529193898,0.24190764825229183,0.2613230733382198,0.004150066910830197
darley,0.3350620211150586,0.18839584814126947,0.20677875809068857,0.18889360415272732,0.0,0.10932716086852243,0.19817604353344961,0.11739912614342704,0.0988597922993979,0.12309416283283935
mcfadden,0.21945716335458348,0.1732047892793506,0.2604250126229146,0.24930485014565804,0.10932716086852243,0.0,0.2515345997717678,0.00041173175447863433,0.004016203349115233,0.26118920977650484
brown,0.2707084243484268,0.14788694840647665,0.03397845011533517,0.06418625529193898,0.19817604353344961,0.2515345997717678,0.0,0.316198702692638,0.1960687241799348,0.05508850164081602
duffy,0.1335746434165648,0.10725077410084626,0.27388438671585974,0.24190764825229183,0.11739912614342704,0.00041173175447863433,0.316198702692638,0.0,0.5111966985515412,0.25402369212415143
red mcfadden,0.34774383334696496,0.3467205291051068,0.2313092172188207,0.2613230733382198,0.0988597922993979,0.004016203349115233,0.1960687241799348,0.5111966985515412,0.0,0.2571730064273896
p. t. barnum,0.0905708269195753,0.08954752267771716,0.011165647431652048,0.004150066910830197,0.12309416283283935,0.26118920977650484,0.05508850164081602,0.25402369212415143,0.2571730064273896,0.0
