,slade,higbie,ballou,winters,carson,jack,williams,smith,cook,hank monk
slade,0.0,0.3057910477852703,0.20820558981698237,0.8818744071630849,0.17424641591325732,0.19670682224462618,0.5154077179946315,0.3655429440151128,0.7190189179179235,0.09338206811738725
higbie,0.3057910477852703,0.0,0.09286543704107293,0.5722315765609434,0.14025852049053958,0.14758877195041967,0.19882685365214772,0.1853334124038706,0.40541724219698144,0.19550767497109714
ballou,0.20820558981698237,0.09286543704107293,0.0,0.669937960452617,0.04373007381701829,0.18082738045052946,0.29953831961328337,0.2032498940217818,0.49608152259643323,0.0915735754582897
winters,0.8818744071630849,0.5722315765609434,0.669937960452617,0.0,0.6979289967580606,0.6493274003816554,0.35346486506655284,0.41775595483707556,0.15142814803565338,0.7801242720880512
carson,0.17424641591325732,0.14025852049053958,0.04373007381701829,0.6979289967580606,0.0,0.15820138265176034,0.3259824811088259,0.19064404605898638,0.49890920588770205,0.042318609559495186
jack,0.19670682224462618,0.14758877195041967,0.18082738045052946,0.6493274003816554,0.15820138265176034,0.0,0.28140146390738424,0.12690582774825346,0.4052009249791408,0.20547354008963137
williams,0.5154077179946315,0.19882685365214772,0.29953831961328337,0.35346486506655284,0.3259824811088259,0.28140146390738424,0.0,0.11752568645106794,0.16369325182976066,0.38223434042739507
smith,0.3655429440151128,0.1853334124038706,0.2032498940217818,0.41775595483707556,0.19064404605898638,0.12690582774825346,0.11752568645106794,0.0,0.24739499003530516,0.23537803444653826
cook,0.7190189179179235,0.40541724219698144,0.49608152259643323,0.15142814803565338,0.49890920588770205,0.4052009249791408,0.16369325182976066,0.24739499003530516,0.0,0.6254989906034488
hank monk,0.09338206811738725,0.19550767497109714,0.0915735754582897,0.7801242720880512,0.042318609559495186,0.20547354008963137,0.38223434042739507,0.23537803444653826,0.6254989906034488,0.0
