,emma,harriet,weston,elton,knightley,woodhouse,jane,frank churchill,bates,jane fairfax
emma,0.0,0.0052129575631648705,0.003487177091508193,0.005251256360458828,0.001058264923692168,0.0010462006844309299,0.002984431189317141,0.0005565650377152833,0.0009918131380514865,0.0010528755670415747
harriet,0.0052129575631648705,0.0,0.06011839902224626,0.04187479687151446,0.019210591802108774,0.014347964913578922,0.018845952791493984,0.008270890716644021,0.01962066915084007,0.01819892214914999
weston,0.003487177091508193,0.06011839902224626,0.0,0.05380122183657623,0.024259797267538265,0.008123381371600229,0.011350477487475539,0.0027905431417928044,0.005431461057598777,0.008488792008495345
elton,0.005251256360458828,0.04187479687151446,0.05380122183657623,0.0,0.04893809911016629,0.011687969517377602,0.012254660616227752,0.01683451073845098,0.014266926598811751,0.014578447012860677
knightley,0.001058264923692168,0.019210591802108774,0.024259797267538265,0.04893809911016629,0.0,0.03782426658806357,0.01734913445173411,0.006630695526305567,0.007939221762738874,0.006262699240298291
woodhouse,0.0010462006844309299,0.014347964913578922,0.008123381371600229,0.011687969517377602,0.03782426658806357,0.0,0.024724407366106007,0.014585880185415373,0.009247108464752537,0.010386281001143749
jane,0.002984431189317141,0.018845952791493984,0.011350477487475539,0.012254660616227752,0.01734913445173411,0.024724407366106007,0.0,0.024705271525857418,0.026454861577597785,0.025062426067697253
frank churchill,0.0005565650377152833,0.008270890716644021,0.0027905431417928044,0.01683451073845098,0.006630695526305567,0.014585880185415373,0.024705271525857418,0.0,0.0676738680193691,0.02525766316172125
bates,0.0009918131380514865,0.01962066915084007,0.005431461057598777,0.014266926598811751,0.007939221762738874,0.009247108464752537,0.026454861577597785,0.0676738680193691,0.0,0.014393911184489136
jane fairfax,0.0010528755670415747,0.01819892214914999,0.008488792008495345,0.014578447012860677,0.006262699240298291,0.010386281001143749,0.025062426067697253,0.02525766316172125,0.014393911184489136,0.0
