,halbert,piercie shafton,edward,abbot,mary,mary avenel,halbert glendinning,christie,eustace,murray
halbert,0.0,0.03631014616518624,0.02738063346743357,0.02081332968944135,0.03362632530692184,0.008754078925201003,0.0026614716082251984,0.0176004302196447,0.04095923601111516,0.14065131130648573
piercie shafton,0.03631014616518624,0.0,0.04344440867323148,0.10337389464407905,0.12971734452204325,0.016757140420263286,0.011070099170655753,0.05805179623428123,0.12935792423758763,0.08106159391533245
edward,0.02738063346743357,0.04344440867323148,0.0,0.06726915507815612,0.09245586942262153,0.016119033967088907,0.041685725310350474,0.022465262610094773,0.06791032469352884,0.09972965378694347
abbot,0.02081332968944135,0.10337389464407905,0.06726915507815612,0.0,0.04556823065511835,0.04696519908654273,0.06709987741354322,0.04756709281592,0.023733434953086566,0.24342612185528395
mary,0.03362632530692184,0.12971734452204325,0.09245586942262153,0.04556823065511835,0.0,0.1027372958818788,0.1115544840800342,0.05702548788087428,0.02918109923246452,0.320122904717958
mary avenel,0.008754078925201003,0.016757140420263286,0.016119033967088907,0.04696519908654273,0.1027372958818788,0.0,0.0448998529687961,0.05073904306143634,0.1288877843658301,0.24605186595904843
halbert glendinning,0.0026614716082251984,0.011070099170655753,0.041685725310350474,0.06709987741354322,0.1115544840800342,0.0448998529687961,0.0,0.056483338864772435,0.14467685416811168,0.22541567214818461
christie,0.0176004302196447,0.05805179623428123,0.022465262610094773,0.04756709281592,0.05702548788087428,0.05073904306143634,0.056483338864772435,0.0,0.09847328943452892,0.2788132795120264
eustace,0.04095923601111516,0.12935792423758763,0.06791032469352884,0.023733434953086566,0.02918109923246452,0.1288877843658301,0.14467685416811168,0.09847328943452892,0.0,0.43552124717300955
murray,0.14065131130648573,0.08106159391533245,0.09972965378694347,0.24342612185528395,0.320122904717958,0.24605186595904843,0.22541567214818461,0.2788132795120264,0.43552124717300955,0.0
