,elinor,marianne,edward,jennings,willoughby,dashwood,lucy,brandon,john,ferrars
elinor,0.0,0.011145661899911681,0.0035258284584178566,0.0011894733734011177,0.003040707897196796,0.0020636800547271894,0.002539736793051945,0.0010644761557493374,0.0033424316612097374,0.000904414551810073
marianne,0.011145661899911681,0.0,0.012968415725975147,0.004980319664514503,0.0015661387041641327,0.0037051606737647977,0.018176976610144016,0.0037775771676459807,0.006082863382888879,0.007266189746699043
edward,0.0035258284584178566,0.012968415725975147,0.0,0.06622229202229665,0.10990690919117733,0.0648150466397455,0.014656622444199296,0.026133354058578702,0.027531494753611694,0.003139716161459475
jennings,0.0011894733734011177,0.004980319664514503,0.06622229202229665,0.0,0.1022231815790641,0.08435836181547691,0.04581934465899683,0.024101844096112737,0.047174002787748484,0.02328852028113968
willoughby,0.003040707897196796,0.0015661387041641327,0.10990690919117733,0.1022231815790641,0.0,0.05535169614681787,0.12459393188238704,0.04801470141507786,0.02984886473765027,0.0756673723150685
dashwood,0.0020636800547271894,0.0037051606737647977,0.0648150466397455,0.08435836181547691,0.05535169614681787,0.0,0.09460407112423934,0.018776232802232007,0.020220575602344137,0.030143108693196998
lucy,0.002539736793051945,0.018176976610144016,0.014656622444199296,0.04581934465899683,0.12459393188238704,0.09460407112423934,0.0,0.07127257919625002,0.13048048875733534,0.007912513056320479
brandon,0.0010644761557493374,0.0037775771676459807,0.026133354058578702,0.024101844096112737,0.04801470141507786,0.018776232802232007,0.07127257919625002,0.0,0.1143830027643794,0.04020714759991708
john,0.0033424316612097374,0.006082863382888879,0.027531494753611694,0.047174002787748484,0.02984886473765027,0.020220575602344137,0.13048048875733534,0.1143830027643794,0.0,0.27371806818747985
ferrars,0.000904414551810073,0.007266189746699043,0.003139716161459475,0.02328852028113968,0.0756673723150685,0.030143108693196998,0.007912513056320479,0.04020714759991708,0.27371806818747985,0.0
