,polina,astley,de griers,alexis ivanovitch,potapitch,blanche,martha,polina alexandrovna,marquis,baroness
polina,0.0,0.012568084602364539,0.015123921198354574,0.01575152402990084,0.020978474423471484,0.02540105739052019,0.010708573185555282,0.007946946872269971,0.002970885705406537,0.025874137341797068
astley,0.012568084602364539,0.0,0.05420279726420014,0.036074527795556754,0.06313437345971402,0.02343254348954031,0.025082555522664623,0.019313004089162866,0.007818424384244871,0.056966350705523056
de griers,0.015123921198354574,0.05420279726420014,0.0,0.008004444048150483,0.015988295996350918,0.0579822349897962,0.002641159948554782,0.11051107546601839,0.10784813417292421,0.03331605205841445
alexis ivanovitch,0.01575152402990084,0.036074527795556754,0.008004444048150483,0.0,0.029750423431578986,0.252353269322727,0.004395236198561089,0.17008877266597777,0.2143014990641326,0.10352846594787946
potapitch,0.020978474423471484,0.06313437345971402,0.015988295996350918,0.029750423431578986,0.0,0.26174015874101675,0.006682491044212809,0.2416173368237021,0.2962364086807641,0.19509878762621552
blanche,0.02540105739052019,0.02343254348954031,0.0579822349897962,0.252353269322727,0.26174015874101675,0.0,0.21765160890398713,0.18074773957688706,0.2313751588610295,0.24567420443709292
martha,0.010708573185555282,0.025082555522664623,0.002641159948554782,0.004395236198561089,0.006682491044212809,0.21765160890398713,0.0,0.2804455734876346,0.3524633601041196,0.24821735155337343
polina alexandrovna,0.007946946872269971,0.019313004089162866,0.11051107546601839,0.17008877266597777,0.2416173368237021,0.18074773957688706,0.2804455734876346,0.0,0.07837528017422077,0.16044637988968383
marquis,0.002970885705406537,0.007818424384244871,0.10784813417292421,0.2143014990641326,0.2962364086807641,0.2313751588610295,0.3524633601041196,0.07837528017422077,0.0,0.09508286325435522
baroness,0.025874137341797068,0.056966350705523056,0.03331605205841445,0.10352846594787946,0.19509878762621552,0.24567420443709292,0.24821735155337343,0.16044637988968383,0.09508286325435522,0.0
