,harris,mont blanc,neckar,conrad,baedeker,peter,riley,nicodemus,huss,gretchen
harris,0.0,0.10390433626202868,0.007266904217913631,0.03514284055270481,0.006127800155449888,0.012437087221492643,0.03008358614700832,0.01057011301465622,0.031011788389293565,0.03872784368684414
mont blanc,0.10390433626202868,0.0,0.5693051779436559,0.46876210706579924,0.08704570186357283,0.1319843343418592,0.3211426442538086,0.3825902892581371,0.41025565911898215,0.3070329474126083
neckar,0.007266904217913631,0.5693051779436559,0.0,0.08435452404583663,0.44927634090893903,0.3816987498576727,0.21665114237511812,0.1384317957061295,0.11000796409929912,0.2628143216290173
conrad,0.03514284055270481,0.46876210706579924,0.08435452404583663,0.0,0.3418076932669315,0.2714004583739599,0.13986837600002386,0.07457811971542996,0.047056559190406286,0.16386165706866695
baedeker,0.006127800155449888,0.08704570186357283,0.44927634090893903,0.3418076932669315,0.0,0.07819399967628717,0.20008270613628937,0.23119019974397167,0.2425242345358602,0.188490416947686
peter,0.012437087221492643,0.1319843343418592,0.3816987498576727,0.2714004583739599,0.07819399967628717,0.0,0.16660755971258825,0.1328946316121407,0.17784681801700755,0.13877154927368077
riley,0.03008358614700832,0.3211426442538086,0.21665114237511812,0.13986837600002386,0.20008270613628937,0.16660755971258825,0.0,0.06417614909810322,0.09169933548339594,0.19055952897390754
nicodemus,0.01057011301465622,0.3825902892581371,0.1384317957061295,0.07457811971542996,0.23119019974397167,0.1328946316121407,0.06417614909810322,0.0,0.02751815022600101,0.12596926341155476
huss,0.031011788389293565,0.41025565911898215,0.11000796409929912,0.047056559190406286,0.2425242345358602,0.17784681801700755,0.09169933548339594,0.02751815022600101,0.0,0.06549695077758122
gretchen,0.03872784368684414,0.3070329474126083,0.2628143216290173,0.16386165706866695,0.188490416947686,0.13877154927368077,0.19055952897390754,0.12596926341155476,0.06549695077758122,0.0
