,morton,edith,burley,cuddie,bothwell,jenny,bellenden,lady margaret,balfour,milnwood
morton,0.0,0.019493412693961758,0.002111644549150688,0.008799652413629061,0.023903817510054073,0.011613314207750799,0.007229042287127273,0.012274515835153266,0.0011494178390738666,0.007682582785653758
edith,0.019493412693961758,0.0,0.08829786486534182,0.045354423311077606,0.14885967890231971,0.02256240897372239,0.006596216614511538,0.01710443056096225,0.022087045096545348,0.023570786447793972
burley,0.002111644549150688,0.08829786486534182,0.0,0.07421877964099169,0.19680971611369208,0.04306451253264252,0.030363102573438223,0.06037465625766267,0.0009917364579287982,0.053800938627244055
cuddie,0.008799652413629061,0.045354423311077606,0.07421877964099169,0.0,0.14646494996582007,0.026956966138435325,0.02280118270846801,0.033549510387193476,0.022130986061191207,0.008958930028343248
bothwell,0.023903817510054073,0.14885967890231971,0.19680971611369208,0.14646494996582007,0.0,0.21634824331138414,0.20418836110971897,0.05899239411226327,0.16072462573030954,0.028206021750263505
jenny,0.011613314207750799,0.02256240897372239,0.04306451253264252,0.026956966138435325,0.21634824331138414,0.0,0.019551411470150944,0.08049822014006631,0.04678175622023735,0.042986356506044016
bellenden,0.007229042287127273,0.006596216614511538,0.030363102573438223,0.02280118270846801,0.20418836110971897,0.019551411470150944,0.0,0.12680445106588084,0.02875672022173569,0.0682916496053005
lady margaret,0.012274515835153266,0.01710443056096225,0.06037465625766267,0.033549510387193476,0.05899239411226327,0.08049822014006631,0.12680445106588084,0.0,0.08706015968202761,0.03175871172502695
balfour,0.0011494178390738666,0.022087045096545348,0.0009917364579287982,0.022130986061191207,0.16072462573030954,0.04678175622023735,0.02875672022173569,0.08706015968202761,0.0,0.1763176031273736
milnwood,0.007682582785653758,0.023570786447793972,0.053800938627244055,0.008958930028343248,0.028206021750263505,0.042986356506044016,0.0682916496053005,0.03175871172502695,0.1763176031273736,0.0
