,jim,tom,huck,sally,mary jane,tom sawyer,watson,dey,sid,huck finn
jim,0.0,0.015471945980583567,0.0007734976606599172,0.004545135701267743,0.058184399054299965,0.005729159493354714,0.005711931976037853,0.001138783706730216,0.005325525619950393,0.0024390286693323528
tom,0.015471945980583567,0.0,0.08092414773037293,0.001561653432140131,0.15957732445846737,0.0163059795488304,0.020975898590022475,0.047530594004996235,0.0035302097741585613,0.00951022061114507
huck,0.0007734976606599172,0.08092414773037293,0.0,0.3175704156455743,0.21167098248822871,0.0923352901372104,0.09631620838692442,0.00967554411176919,0.08110895954668342,0.014894406080407752
sally,0.004545135701267743,0.001561653432140131,0.3175704156455743,0.0,0.2456645139143895,0.33394930832252023,0.5196298333535937,0.339984631290935,0.01348256258164763,0.16415265791691508
mary jane,0.058184399054299965,0.15957732445846737,0.21167098248822871,0.2456645139143895,0.0,0.29764600779503625,0.40230595472442376,0.2899564367445134,0.255987791588702,0.2555752446844114
tom sawyer,0.005729159493354714,0.0163059795488304,0.0923352901372104,0.33394930832252023,0.29764600779503625,0.0,0.011577190292636796,0.09160015632754442,0.05721601582865799,0.007786211478845618
watson,0.005711931976037853,0.020975898590022475,0.09631620838692442,0.5196298333535937,0.40230595472442376,0.011577190292636796,0.0,0.15684372371104502,0.5080778752205465,0.1504670527577849
dey,0.001138783706730216,0.047530594004996235,0.00967554411176919,0.339984631290935,0.2899564367445134,0.09160015632754442,0.15684372371104502,0.0,0.3752409299764613,0.09463785340049216
sid,0.005325525619950393,0.0035302097741585613,0.08110895954668342,0.01348256258164763,0.255987791588702,0.05721601582865799,0.5080778752205465,0.3752409299764613,0.0,0.23509731389940006
huck finn,0.0024390286693323528,0.00951022061114507,0.014894406080407752,0.16415265791691508,0.2555752446844114,0.007786211478845618,0.1504670527577849,0.09463785340049216,0.23509731389940006,0.0
