,pierre,guillaume,salvat,marie,gerard,duthil,duvillard,massot,silviane,thomas
pierre,0.0,0.008210595158975126,0.0033816973909401734,0.001263213109338976,0.01488564336039312,0.006425189794687282,0.013713043552481386,0.005237626827852433,0.009881168863156375,0.0016053087135293944
guillaume,0.008210595158975126,0.0,0.012643099935417644,0.0023904506480887924,0.057217288199906804,0.03513804690904466,0.03740982232281905,0.027488300540638798,0.028722928131187316,0.004301061253547303
salvat,0.0033816973909401734,0.012643099935417644,0.0,0.07043516334846783,0.04265136815758592,0.022415329182906323,0.03503897321885502,0.027565689191596198,0.027261222404567412,0.03221634882004997
marie,0.001263213109338976,0.0023904506480887924,0.07043516334846783,0.0,0.203431384501947,0.11776184564214413,0.10747231995588863,0.1003217479344676,0.09046322249025478,0.0207665618409774
gerard,0.01488564336039312,0.057217288199906804,0.04265136815758592,0.203431384501947,0.0,0.06333038951060495,0.09879290971411774,0.08609689370125737,0.06819440407977971,0.20216761866340505
duthil,0.006425189794687282,0.03513804690904466,0.022415329182906323,0.11776184564214413,0.06333038951060495,0.0,0.06596112534670123,0.01511809837905185,0.01691704470543501,0.10303411389153692
duvillard,0.013713043552481386,0.03740982232281905,0.03503897321885502,0.10747231995588863,0.09879290971411774,0.06596112534670123,0.0,0.09549895750914043,0.015265875873898053,0.12462222591295503
massot,0.005237626827852433,0.027488300540638798,0.027565689191596198,0.1003217479344676,0.08609689370125737,0.01511809837905185,0.09549895750914043,0.0,0.04670377136839288,0.09459320824502343
silviane,0.009881168863156375,0.028722928131187316,0.027261222404567412,0.09046322249025478,0.06819440407977971,0.01691704470543501,0.015265875873898053,0.04670377136839288,0.0,0.1155660568739426
thomas,0.0016053087135293944,0.004301061253547303,0.03221634882004997,0.0207665618409774,0.20216761866340505,0.10303411389153692,0.12462222591295503,0.09459320824502343,0.1155660568739426,0.0
