,mathieu,marianne,constance,beauchene,norine,morange,blaise,denis,seguin,ambroise
mathieu,0.0,0.0011852975501488007,0.006825121550264153,0.0017210905840790846,0.004932408711845345,0.009349670451474787,0.00514375537631747,0.0041432962559521695,0.0009454413499792586,0.001088841093011752
marianne,0.0011852975501488007,0.0,0.03684223520639831,0.012022508416399978,0.02480381146419484,0.023122829024952003,0.009741964126064376,0.009528550176435741,0.011490669373332544,0.0069338802494065205
constance,0.006825121550264153,0.03684223520639831,0.0,0.05589784452252914,0.065004208970837,0.010465465379667102,0.008248741396339365,0.02042929733886476,0.04611291618729096,0.02539425900560421
beauchene,0.0017210905840790846,0.012022508416399978,0.05589784452252914,0.0,0.07930761177578083,0.12615114643760422,0.10590889190304416,0.19883960870412004,0.021359111611761388,0.12092542934948382
norine,0.004932408711845345,0.02480381146419484,0.065004208970837,0.07930761177578083,0.0,0.0947466928393421,0.07876550617519675,0.1285115864259362,0.058945053146798765,0.07044613934665306
morange,0.009349670451474787,0.023122829024952003,0.010465465379667102,0.12615114643760422,0.0947466928393421,0.0,0.07022294027807796,0.033941285503798255,0.07447479281522554,0.03816351718139961
blaise,0.00514375537631747,0.009741964126064376,0.008248741396339365,0.10590889190304416,0.07876550617519675,0.07022294027807796,0.0,0.0767755051070345,0.1750663231871889,0.041281010640634073
denis,0.0041432962559521695,0.009528550176435741,0.02042929733886476,0.19883960870412004,0.1285115864259362,0.033941285503798255,0.0767755051070345,0.0,0.2949838493402465,0.016108493449261286
seguin,0.0009454413499792586,0.011490669373332544,0.04611291618729096,0.021359111611761388,0.058945053146798765,0.07447479281522554,0.1750663231871889,0.2949838493402465,0.0,0.2624547793496698
ambroise,0.001088841093011752,0.0069338802494065205,0.02539425900560421,0.12092542934948382,0.07044613934665306,0.03816351718139961,0.041281010640634073,0.016108493449261286,0.2624547793496698,0.0
