,catherine,tilney,isabella,allen,thorpe,morland,henry,eleanor,james,john
catherine,0.0,0.0016271222576592114,0.0015614323388409561,0.0022864433001676993,0.0016637653910664804,0.001684182463661831,0.0016711794423518232,0.001767273901093429,0.0005035261765962185,0.0012287791256765262
tilney,0.0016271222576592114,0.0,0.03261630041554116,0.045427823261960834,0.018863363145116538,0.04045878958080315,0.10302830412682253,0.0803358689818579,0.005278794764683017,0.006030185786132248
isabella,0.0015614323388409561,0.03261630041554116,0.0,0.10494877290176902,0.060474395031533054,0.05620855049933401,0.18627886976243246,0.16706237898828397,0.0012396454135173277,0.0015325159972385393
allen,0.0022864433001676993,0.045427823261960834,0.10494877290176902,0.0,0.02434093762262655,0.12399686072181722,0.31955943812010273,0.27084117207258684,0.024355105084672354,0.01467743482370899
thorpe,0.0016637653910664804,0.018863363145116538,0.060474395031533054,0.02434093762262655,0.0,0.13257304887382207,0.33246261426874846,0.28862270274880614,0.0062111745653607945,0.009474302435155657
morland,0.001684182463661831,0.04045878958080315,0.05620855049933401,0.12399686072181722,0.13257304887382207,0.0,0.14209293776838688,0.10323696697137223,0.011871733328647202,0.009682985845178724
henry,0.0016711794423518232,0.10302830412682253,0.18627886976243246,0.31955943812010273,0.33246261426874846,0.14209293776838688,0.0,0.015457424169450014,0.1355265110168143,0.08630612948662204
eleanor,0.001767273901093429,0.0803358689818579,0.16706237898828397,0.27084117207258684,0.28862270274880614,0.10323696697137223,0.015457424169450014,0.0,0.26798704199472656,0.2866807963751203
james,0.0005035261765962185,0.005278794764683017,0.0012396454135173277,0.024355105084672354,0.0062111745653607945,0.011871733328647202,0.1355265110168143,0.26798704199472656,0.0,0.00922304270640302
john,0.0012287791256765262,0.006030185786132248,0.0015325159972385393,0.01467743482370899,0.009474302435155657,0.009682985845178724,0.08630612948662204,0.2866807963751203,0.00922304270640302,0.0
