,claude,christine,jory,mahoudeau,fagerolles,dubuche,bongrand,gagniere,sandoz,mathilde
claude,0.0,0.0006239416491244168,0.0011821777948752908,0.0013516422446383275,0.0015058541738395218,0.0011811216192329356,0.004020969989066223,0.0009118643753714385,0.0005647834765084028,0.0012799833531231125
christine,0.0006239416491244168,0.0,0.03477091519044586,0.02471531729600282,0.043551184172279586,0.02934278001139024,0.03731682225000152,0.017507921349172118,0.014498551465931002,0.014364391373269648
jory,0.0011821777948752908,0.03477091519044586,0.0,0.021495957382814637,0.04383264948202091,0.06301079868441037,0.03327864474311661,0.006836255958971638,0.017376726856287765,0.0015504954730097696
mahoudeau,0.0013516422446383275,0.02471531729600282,0.021495957382814637,0.0,0.049338770157367165,0.08510114327293536,0.05107759604474758,0.011635429828523896,0.018386480257595393,0.002722511931301527
fagerolles,0.0015058541738395218,0.043551184172279586,0.04383264948202091,0.049338770157367165,0.0,0.12434134912738247,0.019697100755468197,0.007692693457106389,0.019474636689115258,0.013722508508370451
dubuche,0.0011811216192329356,0.02934278001139024,0.06301079868441037,0.08510114327293536,0.12434134912738247,0.0,0.11127856896457951,0.033393462503413344,0.014925028188457761,0.03237170281673177
bongrand,0.004020969989066223,0.03731682225000152,0.03327864474311661,0.05107759604474758,0.019697100755468197,0.11127856896457951,0.0,0.049939809201855395,0.06324481806099433,0.050204608837574646
gagniere,0.0009118643753714385,0.017507921349172118,0.006836255958971638,0.011635429828523896,0.007692693457106389,0.033393462503413344,0.049939809201855395,0.0,0.04904313000562733,0.030932682776753855
sandoz,0.0005647834765084028,0.014498551465931002,0.017376726856287765,0.018386480257595393,0.019474636689115258,0.014925028188457761,0.06324481806099433,0.04904313000562733,0.0,0.022819247719591956
mathilde,0.0012799833531231125,0.014364391373269648,0.0015504954730097696,0.002722511931301527,0.013722508508370451,0.03237170281673177,0.050204608837574646,0.030932682776753855,0.022819247719591956,0.0
