,nicholas,squeers,nickleby,ralph,kate,newman,kenwigs,smike,crummles,la creevy
nicholas,0.0,0.03376130240799059,0.009278167683456486,0.013156432365260975,0.007892478058951727,0.003719492917509135,0.008598770081702617,0.0006776495853662751,0.0005638217080279539,0.0029102754575140058
squeers,0.03376130240799059,0.0,0.08038023463256451,0.1449505645003447,0.06231782460030428,0.037962814407450356,0.039291715539656664,0.029719867584930507,0.13087547085458187,0.02827671320438772
nickleby,0.009278167683456486,0.08038023463256451,0.0,0.08818845037890266,0.007954791408142018,0.017935740710592975,0.037329405505364135,0.008524913039793173,0.027425663923788573,0.003901295291092012
ralph,0.013156432365260975,0.1449505645003447,0.08818845037890266,0.0,0.05153665782473111,0.01835860505932818,0.04705010223254014,0.017253109976091818,0.04194243690521024,0.007564311895960724
kate,0.007892478058951727,0.06231782460030428,0.007954791408142018,0.05153665782473111,0.0,0.023519306903963262,0.047587080891503965,0.017288140667955847,0.035830195746690774,0.011972192683189055
newman,0.003719492917509135,0.037962814407450356,0.017935740710592975,0.01835860505932818,0.023519306903963262,0.0,0.05291745027068424,0.025397135927500675,0.09712667009589805,0.03828645882892943
kenwigs,0.008598770081702617,0.039291715539656664,0.037329405505364135,0.04705010223254014,0.047587080891503965,0.05291745027068424,0.0,0.07603056368101144,0.11759624169963484,0.08189320899861796
smike,0.0006776495853662751,0.029719867584930507,0.008524913039793173,0.017253109976091818,0.017288140667955847,0.025397135927500675,0.07603056368101144,0.0,0.08614442049148806,0.08125358250922349
crummles,0.0005638217080279539,0.13087547085458187,0.027425663923788573,0.04194243690521024,0.035830195746690774,0.09712667009589805,0.11759624169963484,0.08614442049148806,0.0,0.1459343222459312
la creevy,0.0029102754575140058,0.02827671320438772,0.003901295291092012,0.007564311895960724,0.011972192683189055,0.03828645882892943,0.08189320899861796,0.08125358250922349,0.1459343222459312,0.0
