,hartley,gray,middlemas,richard,witherington,moncada,menie,richard middlemas,menie gray,lawford
hartley,0.0,0.22854600931758431,0.009603783281151095,0.027574385376990376,0.0012894534835829457,0.03940761626247538,0.03170348450236401,0.014372832028218966,0.007592349986516508,0.09162659236620511
gray,0.22854600931758431,0.0,0.17318433955247248,0.024703250822876825,0.12880928875766495,0.008902478814723398,0.007333144059152755,0.010619363754297907,0.02468891727897324,0.0012382456667250174
middlemas,0.009603783281151095,0.17318433955247248,0.0,0.05306231102532798,0.05674663008675242,0.033810134223923406,0.021701231455566183,0.01210482316526621,0.010769242265999224,0.06503736035798635
richard,0.027574385376990376,0.024703250822876825,0.05306231102532798,0.0,0.07385037386361476,0.026163203880994204,0.021369411877408578,0.0145737601703477,0.040382979564757684,0.04167042187227523
witherington,0.0012894534835829457,0.12880928875766495,0.05674663008675242,0.07385037386361476,0.0,0.16599050591309586,0.22828686076454097,0.15795670987768237,0.18760720577785722,0.29220737875072256
moncada,0.03940761626247538,0.008902478814723398,0.033810134223923406,0.026163203880994204,0.16599050591309586,0.0,0.07546172817538946,0.0807659003882918,0.13228239966219868,0.025311930790876444
menie,0.03170348450236401,0.007333144059152755,0.021701231455566183,0.021369411877408578,0.22828686076454097,0.07546172817538946,0.0,0.0633533156683975,0.0765653360295438,0.09521610277441322
richard middlemas,0.014372832028218966,0.010619363754297907,0.01210482316526621,0.0145737601703477,0.15795670987768237,0.0807659003882918,0.0633533156683975,0.0,0.053074683932453966,0.12400332114347005
menie gray,0.007592349986516508,0.02468891727897324,0.010769242265999224,0.040382979564757684,0.18760720577785722,0.13228239966219868,0.0765653360295438,0.053074683932453966,0.0,0.26284129504294657
lawford,0.09162659236620511,0.0012382456667250174,0.06503736035798635,0.04167042187227523,0.29220737875072256,0.025311930790876444,0.09521610277441322,0.12400332114347005,0.26284129504294657,0.0
