,pierre,benedetta,dario,nani,don vigilio,narcisse,leo xiii,victorine,donna serafina,boccanera
pierre,0.0,0.0022271151215383575,0.001735441378647928,0.0006748385833070602,0.0003435562548393841,0.0003917238863939088,0.0005585694754982252,0.0005490332678507572,0.0005719784184480425,0.000487737040683874
benedetta,0.0022271151215383575,0.0,0.0063509410989304365,0.021379580346693707,0.018015145997813547,0.026670178732521,0.02165054049763526,0.009554211681301904,0.003223374812198153,0.018504647376998525
dario,0.001735441378647928,0.0063509410989304365,0.0,0.03291203747105838,0.03148187199876253,0.032702984700660374,0.03367073026846741,0.02154966673507979,0.010295631547221594,0.033729318066110646
nani,0.0006748385833070602,0.021379580346693707,0.03291203747105838,0.0,0.04376696251125802,0.07523008152947878,0.059161592285988655,0.04957923278185437,0.019580574275702013,0.01959381094853072
don vigilio,0.0003435562548393841,0.018015145997813547,0.03148187199876253,0.04376696251125802,0.0,0.15165523773289835,0.06911321727684724,0.0348512507565645,0.02016862501287906,0.016159567747169087
narcisse,0.0003917238863939088,0.026670178732521,0.032702984700660374,0.07523008152947878,0.15165523773289835,0.0,0.10701919884996079,0.132851891445126,0.07362269273333187,0.09680296494320634
leo xiii,0.0005585694754982252,0.02165054049763526,0.03367073026846741,0.059161592285988655,0.06911321727684724,0.10701919884996079,0.0,0.04130212166584041,0.04628573118653523,0.059215421264876555
victorine,0.0005490332678507572,0.009554211681301904,0.02154966673507979,0.04957923278185437,0.0348512507565645,0.132851891445126,0.04130212166584041,0.0,0.051658933676338004,0.0639288122537103
donna serafina,0.0005719784184480425,0.003223374812198153,0.010295631547221594,0.019580574275702013,0.02016862501287906,0.07362269273333187,0.04628573118653523,0.051658933676338004,0.0,0.04649949413854773
boccanera,0.000487737040683874,0.018504647376998525,0.033729318066110646,0.01959381094853072,0.016159567747169087,0.09680296494320634,0.059215421264876555,0.0639288122537103,0.04649949413854773,0.0
