,velchaninoff,pavel pavlovitch,zina,maria alexandrovna,liza,mosgliakoff,pavel,alexey ivanovitch,paul,prince
velchaninoff,0.0,0.002974249588280389,0.4214648295887041,0.42521968114343783,0.0016579176576908324,0.24864351055727027,0.0010302738562953766,0.0009602447633860087,0.2870409601594972,0.2278372967876196
pavel pavlovitch,0.002974249588280389,0.0,0.5094929144475392,0.5108545121678518,0.006415813926253907,0.3216642905367645,0.001427081383363372,0.0010178953229751165,0.35484462810932094,0.29413150951704603
zina,0.4214648295887041,0.5094929144475392,0.0,0.025326983910647864,0.25260837853578155,0.0036972733331687227,0.4177149901238053,0.2967412149067931,0.003245854145214319,0.0031029805047789417
maria alexandrovna,0.42521968114343783,0.5108545121678518,0.025326983910647864,0.0,0.300790293059405,0.001686163612492679,0.4633360327350124,0.3393022866257621,0.0014316629360281187,0.00252768256588465
liza,0.0016579176576908324,0.006415813926253907,0.25260837853578155,0.300790293059405,0.0,0.38393740037365204,0.1515731218700586,0.04574615073041377,0.4108849003705905,0.34541449894685966
mosgliakoff,0.24864351055727027,0.3216642905367645,0.0036972733331687227,0.001686163612492679,0.38393740037365204,0.0,0.5859161387028199,0.4283059204240832,0.013141142738237297,0.01446587276958519
pavel,0.0010302738562953766,0.001427081383363372,0.4177149901238053,0.4633360327350124,0.1515731218700586,0.5859161387028199,0.0,0.08566005155022638,0.6077586894896017,0.5348906353141808
alexey ivanovitch,0.0009602447633860087,0.0010178953229751165,0.2967412149067931,0.3393022866257621,0.04574615073041377,0.4283059204240832,0.08566005155022638,0.0,0.5102078985462558,0.4211135481066623
paul,0.2870409601594972,0.35484462810932094,0.003245854145214319,0.0014316629360281187,0.4108849003705905,0.013141142738237297,0.6077586894896017,0.5102078985462558,0.0,0.037135867117850774
prince,0.2278372967876196,0.29413150951704603,0.0031029805047789417,0.00252768256588465,0.34541449894685966,0.01446587276958519,0.5348906353141808,0.4211135481066623,0.037135867117850774,0.0
