,jack,barlow,titbull,testator,flipfield,pangloss,grazinglands,battens,klem,mitts
jack,0.0,0.8120008523631024,0.6344479523678652,0.26535397048065235,0.39327288341066,0.07792197960305533,0.019688787715110404,0.5916690863041997,0.30480985865523275,0.5838036574086969
barlow,0.8120008523631024,0.0,0.13150883858289597,0.5690673294090491,0.39509549323182885,0.7588367671094183,0.8166797740283805,0.1318309790544457,0.5162149573675677,0.12082218459735125
titbull,0.6344479523678652,0.13150883858289597,0.0,0.4347732355893613,0.26031757575458886,0.623694170003614,0.6815227004487284,0.003535814689604352,0.3794774066258597,0.0021486728956593196
testator,0.26535397048065235,0.5690673294090491,0.4347732355893613,0.0,0.17349206831913,0.18963406836339802,0.24748974004058105,0.43567130576656576,0.050251414938906676,0.4456912393212987
flipfield,0.39327288341066,0.39509549323182885,0.26031757575458886,0.17349206831913,0.0,0.36363563651520614,0.4214866626215638,0.26248455427868145,0.12091044585785768,0.27281503083236575
pangloss,0.07792197960305533,0.7588367671094183,0.623694170003614,0.18963406836339802,0.36363563651520614,0.0,0.05774420717621434,0.6261964924684549,0.24036992128050857,0.6357479760035196
grazinglands,0.019688787715110404,0.8166797740283805,0.6815227004487284,0.24748974004058105,0.4214866626215638,0.05774420717621434,0.0,0.6844455021885458,0.29939479900618327,0.6947685060279133
battens,0.5916690863041997,0.1318309790544457,0.003535814689604352,0.43567130576656576,0.26248455427868145,0.6261964924684549,0.6844455021885458,0.0,0.38249292039355315,0.0077130035230164404
klem,0.30480985865523275,0.5162149573675677,0.3794774066258597,0.050251414938906676,0.12091044585785768,0.24036992128050857,0.29939479900618327,0.38249292039355315,0.0,0.3953436146327885
mitts,0.5838036574086969,0.12082218459735125,0.0021486728956593196,0.4456912393212987,0.27281503083236575,0.6357479760035196,0.6947685060279133,0.0077130035230164404,0.3953436146327885,0.0
