,alicia,grandmarina,pickles,prince certainpersonio,chamberlain,king,mr pickles,certainpersonio,king watkins,peggy
alicia,0.0,0.045453508974656984,0.017277659659169848,0.012142039781851887,0.012123890377792997,0.010605318800942053,0.033808232109803125,0.004614642266820068,0.0004130684549443764,0.008618443162816626
grandmarina,0.045453508974656984,0.0,0.023251057397824373,0.010902386467116651,0.20515051409422,0.004892914831155398,0.4285388261884452,0.004014877489201818,0.09920172157306716,0.04638138592236934
pickles,0.017277659659169848,0.023251057397824373,0.0,0.05741582099552252,0.3351656492386716,0.034052448218478124,0.2732427066908674,0.006219119511183702,0.10245666105454189,0.21855486248282346
prince certainpersonio,0.012142039781851887,0.010902386467116651,0.05741582099552252,0.0,0.604937541392882,0.08491014901671504,0.8616250522241181,0.01443710994298253,0.2183016578312453,0.6086419297763941
chamberlain,0.012123890377792997,0.20515051409422,0.3351656492386716,0.604937541392882,0.0,0.5200154865886709,0.2566874601255923,0.5750237789200173,0.3711592310317545,0.002037193355661937
king,0.010605318800942053,0.004892914831155398,0.034052448218478124,0.08491014901671504,0.5200154865886709,0.0,0.7767032205103164,0.054575968373908434,0.13128026367711876,0.5216205356222676
mr pickles,0.033808232109803125,0.4285388261884452,0.2732427066908674,0.8616250522241181,0.2566874601255923,0.7767032205103164,0.0,0.8312767948478532,0.6274122469595903,0.2370719750144415
certainpersonio,0.004614642266820068,0.004014877489201818,0.006219119511183702,0.01443710994298253,0.5750237789200173,0.054575968373908434,0.8312767948478532,0.0,0.2038645478882628,0.5942048198334117
king watkins,0.0004130684549443764,0.09920172157306716,0.10245666105454189,0.2183016578312453,0.3711592310317545,0.13128026367711876,0.6274122469595903,0.2038645478882628,0.0,0.39034027194514875
peggy,0.008618443162816626,0.04638138592236934,0.21855486248282346,0.6086419297763941,0.002037193355661937,0.5216205356222676,0.2370719750144415,0.5942048198334117,0.39034027194514875,0.0
