,alan,redgauntlet,darsie,alan fairford,herries,peter,fairford,joshua,nixon,darsie latimer
alan,0.0,0.35955124337130634,0.14846682069235775,0.012613351173055344,0.04151592480980415,0.05035125445399693,0.0019636379020723372,0.03658855839506273,0.1521666379504706,0.003335935834907698
redgauntlet,0.35955124337130634,0.0,0.0815309941538772,0.07439031676456467,0.1594226224765193,0.05506874107211819,0.11533670307863694,0.25601479140974764,0.006768731156331633,0.0857642731623447
darsie,0.14846682069235775,0.0815309941538772,0.0,0.0468967127690985,0.1134324604140746,0.04566393133288167,0.09043418328172986,0.11030370066334833,0.010148770536388301,0.028995049086732498
alan fairford,0.012613351173055344,0.07439031676456467,0.0468967127690985,0.0,0.09716274174713585,0.06269796191054275,0.033665430267628055,0.16313375713256878,0.11744588497296758,0.01676325679350562
herries,0.04151592480980415,0.1594226224765193,0.1134324604140746,0.09716274174713585,0.0,0.18396442367280819,0.07819750784781507,0.1670223718031947,0.3190146522388506,0.08056006152457638
peter,0.05035125445399693,0.05506874107211819,0.04566393133288167,0.06269796191054275,0.18396442367280819,0.0,0.11443272909262588,0.2584496580254265,0.1150733308150009,0.09085270042416305
fairford,0.0019636379020723372,0.11533670307863694,0.09043418328172986,0.033665430267628055,0.07819750784781507,0.11443272909262588,0.0,0.19593319759072877,0.31730567335685816,0.04845203310451193
joshua,0.03658855839506273,0.25601479140974764,0.11030370066334833,0.16313375713256878,0.1670223718031947,0.2584496580254265,0.19593319759072877,0.0,0.4535943445616476,0.1353940275222968
nixon,0.1521666379504706,0.006768731156331633,0.010148770536388301,0.11744588497296758,0.3190146522388506,0.1150733308150009,0.31730567335685816,0.4535943445616476,0.0,0.3145606222437802
darsie latimer,0.003335935834907698,0.0857642731623447,0.028995049086732498,0.01676325679350562,0.08056006152457638,0.09085270042416305,0.04845203310451193,0.1353940275222968,0.3145606222437802,0.0
