,anne,elliot,wentworth,mary,lady russell,walter,charles,louisa,elizabeth,henrietta
anne,0.0,0.013290347938857378,0.01127340993574492,0.001159145739758386,0.0016719880741227237,0.012904396660812282,0.0021500410225761615,0.002432497603263882,0.0025973159189672814,0.004316129211662015
elliot,0.013290347938857378,0.0,0.17136235461667396,0.13728534210116491,0.07664914599682109,0.14203934032197404,0.09204019108481154,0.07756948550805984,0.03755956682991502,0.08228995325379553
wentworth,0.01127340993574492,0.17136235461667396,0.0,0.0271268463116672,0.05172525733415719,0.0812951416174296,0.011958213876991258,0.0134176929161698,0.0575737286128154,0.00473362659531978
mary,0.001159145739758386,0.13728534210116491,0.0271268463116672,0.0,0.07176537677753002,0.08290161583478013,0.013432258789869044,0.036361180155188265,0.045128747858939174,0.020237765052903794
lady russell,0.0016719880741227237,0.07664914599682109,0.05172525733415719,0.07176537677753002,0.0,0.06981536349058472,0.09659076173446013,0.10770784438477911,0.01823437311634505,0.08851115935985468
walter,0.012904396660812282,0.14203934032197404,0.0812951416174296,0.08290161583478013,0.06981536349058472,0.0,0.09817585374073916,0.14146891820472918,0.009443403598933127,0.11918715848628723
charles,0.0021500410225761615,0.09204019108481154,0.011958213876991258,0.013432258789869044,0.09659076173446013,0.09817585374073916,0.0,0.05349325123919322,0.08059417627745119,0.020418081760263405
louisa,0.002432497603263882,0.07756948550805984,0.0134176929161698,0.036361180155188265,0.10770784438477911,0.14146891820472918,0.05349325123919322,0.0,0.13289903367814837,0.01667880529059206
elizabeth,0.0025973159189672814,0.03755956682991502,0.0575737286128154,0.045128747858939174,0.01823437311634505,0.009443403598933127,0.08059417627745119,0.13289903367814837,0.0,0.1447594887748209
henrietta,0.004316129211662015,0.08228995325379553,0.00473362659531978,0.020237765052903794,0.08851115935985468,0.11918715848628723,0.020418081760263405,0.01667880529059206,0.1447594887748209,0.0
