,caleb,bucklaw,lucy,lady ashton,ashton,wolf,craigengelt,marquis,william ashton,alice
caleb,0.0,0.06330453504287038,0.12404496355476627,0.12340095559236723,0.11444311440586043,0.00572934318538988,0.04832351547394041,0.044107601773849474,0.04729908975622118,0.05779276047522234
bucklaw,0.06330453504287038,0.0,0.07414695921910706,0.039352767358227486,0.044683882808971856,0.04157639023757525,0.009074310087964102,0.04903641811528548,0.033730576171145554,0.049227364977596964
lucy,0.12404496355476627,0.07414695921910706,0.0,0.016819095291529033,0.019993738463908173,0.0876027384648607,0.023937584543629726,0.05480735766922511,0.017308532078112882,0.0067955982317250765
lady ashton,0.12340095559236723,0.039352767358227486,0.016819095291529033,0.0,0.02799130981987449,0.20170413936968945,0.17118888701402735,0.06815821552703459,0.10255498224911774,0.11420559093702516
ashton,0.11444311440586043,0.044683882808971856,0.019993738463908173,0.02799130981987449,0.0,0.22107352518621468,0.204417224682049,0.10040486443909899,0.1332311642382086,0.14755443259280038
wolf,0.00572934318538988,0.04157639023757525,0.0876027384648607,0.20170413936968945,0.22107352518621468,0.0,0.07699338787255432,0.09231281405451515,0.05842325588548956,0.08698849525487104
craigengelt,0.04832351547394041,0.009074310087964102,0.023937584543629726,0.17118888701402735,0.204417224682049,0.07699338787255432,0.0,0.0972304545160559,0.03703493464700874,0.04686477616367978
marquis,0.044107601773849474,0.04903641811528548,0.05480735766922511,0.06815821552703459,0.10040486443909899,0.09231281405451515,0.0972304545160559,0.0,0.11406582948422739,0.08072328739317576
william ashton,0.04729908975622118,0.033730576171145554,0.017308532078112882,0.10255498224911774,0.1332311642382086,0.05842325588548956,0.03703493464700874,0.11406582948422739,0.0,0.032809888551572984
alice,0.05779276047522234,0.049227364977596964,0.0067955982317250765,0.11420559093702516,0.14755443259280038,0.08698849525487104,0.04686477616367978,0.08072328739317576,0.032809888551572984,0.0
