,eveline,rose,damian,de lacy,raoul,wilkin flammock,fleming,gwenwyn,gillian,wilkin
eveline,0.0,0.007544068982529205,0.035602089515988256,0.009792956241969556,0.009636494960744669,0.009717687483810099,0.009167369588507227,0.06606736157444608,0.004653334015639605,0.012832073364744108
rose,0.007544068982529205,0.0,0.160640955384851,0.04405595676403733,0.02616721559080726,0.045665110558567146,0.0354408986695155,0.1441264831921969,0.00904497460875771,0.05415320616619784
damian,0.035602089515988256,0.160640955384851,0.0,0.04461485033867853,0.02545096542536485,0.16694873920326897,0.11761498417585389,0.3410947975862419,0.02608080614004209,0.17939368446381634
de lacy,0.009792956241969556,0.04405595676403733,0.04461485033867853,0.0,0.03424269122563508,0.13875996303820415,0.09855269733666502,0.28724650502082794,0.028676341120293138,0.1418121098009697
raoul,0.009636494960744669,0.02616721559080726,0.02545096542536485,0.03424269122563508,0.0,0.17646574118991856,0.13893443435658515,0.33672153344494044,0.012749114877091385,0.1869571182928722
wilkin flammock,0.009717687483810099,0.045665110558567146,0.16694873920326897,0.13875996303820415,0.17646574118991856,0.0,0.019845000037727708,0.11408406180820353,0.16400367507203914,0.010266253461623458
fleming,0.009167369588507227,0.0354408986695155,0.11761498417585389,0.09855269733666502,0.13893443435658515,0.019845000037727708,0.0,0.17875139978082724,0.13708423042647522,0.013054492203056775
gwenwyn,0.06606736157444608,0.1441264831921969,0.3410947975862419,0.28724650502082794,0.33672153344494044,0.11408406180820353,0.17875139978082724,0.0,0.3951421278514353,0.10083456462914266
gillian,0.004653334015639605,0.00904497460875771,0.02608080614004209,0.028676341120293138,0.012749114877091385,0.16400367507203914,0.13708423042647522,0.3951421278514353,0.0,0.22344564069190387
wilkin,0.012832073364744108,0.05415320616619784,0.17939368446381634,0.1418121098009697,0.1869571182928722,0.010266253461623458,0.013054492203056775,0.10083456462914266,0.22344564069190387,0.0
