,zverkov,simonov,liza,ferfitchkin,trudolyubov,anton antonitch,heine,olympia,stenka razins,shakespeare
zverkov,0.0,0.022948939119848147,0.2491432187844014,0.001855891652139741,0.0015421470573479578,0.020914752433798443,0.16360469171944092,0.0004828107498968862,0.29283408487121376,0.0010235203780053503
simonov,0.022948939119848147,0.0,0.2369043367467575,0.007627107466908439,0.0046604429260748564,0.013332604541181688,0.15296289428987472,0.004399926836094049,0.28175018641013927,0.006582088558616392
liza,0.2491432187844014,0.2369043367467575,0.0,0.24300802138345096,0.23303206240987467,0.17549999732316496,0.39230964575985905,0.07306291944893233,0.5145587094895101,0.08508701561677436
ferfitchkin,0.001855891652139741,0.007627107466908439,0.24300802138345096,0.0,0.002960050107913651,0.05361742561241995,0.18127934146156383,0.0033709994748875125,0.30882298198426594,0.005559834389847686
trudolyubov,0.0015421470573479578,0.0046604429260748564,0.23303206240987467,0.002960050107913651,0.0,0.05763166704664894,0.18020489107725762,0.0030854123562294514,0.30924806837376406,0.0068337458047022384
anton antonitch,0.020914752433798443,0.013332604541181688,0.17549999732316496,0.05361742561241995,0.05763166704664894,0.0,0.12060741424943562,0.08991019750118029,0.23931414198235665,0.07426744149333427
heine,0.16360469171944092,0.15296289428987472,0.39230964575985905,0.18127934146156383,0.18020489107725762,0.12060741424943562,0.0,0.3188161987293794,0.129715677519242,0.29827589004978416
olympia,0.0004828107498968862,0.004399926836094049,0.07306291944893233,0.0033709994748875125,0.0030854123562294514,0.08991019750118029,0.3188161987293794,0.0,0.44645912801035353,0.017465811359612754
stenka razins,0.29283408487121376,0.28175018641013927,0.5145587094895101,0.30882298198426594,0.30924806837376406,0.23931414198235665,0.129715677519242,0.44645912801035353,0.0,0.4288082341183833
shakespeare,0.0010235203780053503,0.006582088558616392,0.08508701561677436,0.005559834389847686,0.0068337458047022384,0.07426744149333427,0.29827589004978416,0.017465811359612754,0.4288082341183833,0.0
