,marc,simon,louise,geneviève,gorgias,david,mignot,crabot,delbos,philibin
marc,0.0,0.0019805047535380407,0.0008264094999125878,0.0004857046553082072,0.0025075350776530797,0.0010801762577243334,0.0003766729171170168,0.0011481075631332514,0.0011376199383669118,0.001274448676804611
simon,0.0019805047535380407,0.0,0.020906335231812984,0.019984227055976463,0.005431158248674653,0.0020028333778244383,0.004030108330253148,0.002594180926583449,0.0011315923587547105,0.002400794114645926
louise,0.0008264094999125878,0.020906335231812984,0.0,0.049733634597906015,0.035616168931876836,0.05267279896015307,0.042602632894139014,0.03202841248846268,0.03483025239473331,0.0539356315415543
geneviève,0.0004857046553082072,0.019984227055976463,0.049733634597906015,0.0,0.052924277939520536,0.040972027081435526,0.017755263249178223,0.022519839254693055,0.03733742281254177,0.025187899308815265
gorgias,0.0025075350776530797,0.005431158248674653,0.035616168931876836,0.052924277939520536,0.0,0.1622799628848118,0.11075535082840418,0.03297952667999741,0.02168219506744086,0.11302726815261221
david,0.0010801762577243334,0.0020028333778244383,0.05267279896015307,0.040972027081435526,0.1622799628848118,0.0,0.045113742771637405,0.01268463727625982,0.03024477874917013,0.021071044972860845
mignot,0.0003766729171170168,0.004030108330253148,0.042602632894139014,0.017755263249178223,0.11075535082840418,0.045113742771637405,0.0,0.05155976133321355,0.06878611003303631,0.04571598890912342
crabot,0.0011481075631332514,0.002594180926583449,0.03202841248846268,0.022519839254693055,0.03297952667999741,0.01268463727625982,0.05155976133321355,0.0,0.05246758810662171,0.07990478018124471
delbos,0.0011376199383669118,0.0011315923587547105,0.03483025239473331,0.03733742281254177,0.02168219506744086,0.03024477874917013,0.06878611003303631,0.05246758810662171,0.0,0.18342174232142264
philibin,0.001274448676804611,0.002400794114645926,0.0539356315415543,0.025187899308815265,0.11302726815261221,0.021071044972860845,0.04571598890912342,0.07990478018124471,0.18342174232142264,0.0
