,bounderby,sparsit,louisa,gradgrind,tom,rachael,stephen,sissy,harthouse,bitzer
bounderby,0.0,0.016575214984674503,0.011824553193611606,0.015067620750965093,0.00858293433404243,0.02027053187998226,0.016364656356968276,0.013611179198904576,0.0023710763117172043,0.00924065906356406
sparsit,0.016575214984674503,0.0,0.05886418165790542,0.14555188168621125,0.03260776958938265,0.07751292017243876,0.07234827888444668,0.05251162853300542,0.024202990478386126,0.00822981997241298
louisa,0.011824553193611606,0.05886418165790542,0.0,0.08652531550803136,0.03965092117141585,0.0472905670220115,0.06852892694447,0.010981099436100348,0.0498482016990235,0.02464260512120683
gradgrind,0.015067620750965093,0.14555188168621125,0.08652531550803136,0.0,0.10204271867775873,0.06696340523286692,0.13090064658481398,0.022546418190161455,0.11238034744341172,0.017502346265850014
tom,0.00858293433404243,0.03260776958938265,0.03965092117141585,0.10204271867775873,0.0,0.10520814249553519,0.05569398156946328,0.08899899355054854,0.006326489214445263,0.031133921646276364
rachael,0.02027053187998226,0.07751292017243876,0.0472905670220115,0.06696340523286692,0.10520814249553519,0.0,0.1309398257365501,0.06338736937277605,0.11669345829717619,0.09154128443784963
stephen,0.016364656356968276,0.07234827888444668,0.06852892694447,0.13090064658481398,0.05569398156946328,0.1309398257365501,0.0,0.16219600286107566,0.06913755575401129,0.09067957669576562
sissy,0.013611179198904576,0.05251162853300542,0.010981099436100348,0.022546418190161455,0.08899899355054854,0.06338736937277605,0.16219600286107566,0.0,0.2046003354725891,0.07593848386302254
harthouse,0.0023710763117172043,0.024202990478386126,0.0498482016990235,0.11238034744341172,0.006326489214445263,0.11669345829717619,0.06913755575401129,0.2046003354725891,0.0,0.13420329686585009
bitzer,0.00924065906356406,0.00822981997241298,0.02464260512120683,0.017502346265850014,0.031133921646276364,0.09154128443784963,0.09067957669576562,0.07593848386302254,0.13420329686585009,0.0
