,mowbray,tyrrel,etherington,clara,jekyl,dods,lady penelope,cargill,meg,touchwood
mowbray,0.0,0.07612328389375538,0.013082798221021786,0.002344865387357782,0.06714819368187133,0.03952863778483178,0.00912957042261347,0.013083440309804193,0.0872912881331566,0.017178567240006007
tyrrel,0.07612328389375538,0.0,0.16574425871309514,0.059704182437435686,0.059565393880771714,0.03367410245606312,0.02888179569773878,0.10115910564109411,0.040857616826358245,0.04871720585466777
etherington,0.013082798221021786,0.16574425871309514,0.0,0.17263776199906175,0.05165202567500286,0.16086068675916879,0.11381901021088138,0.07330128521494542,0.46208664911648656,0.04045251623581885
clara,0.002344865387357782,0.059704182437435686,0.17263776199906175,0.0,0.1270397849397331,0.06529013200372415,0.04704533262132596,0.05417587939483109,0.16776746651288346,0.05243104488254709
jekyl,0.06714819368187133,0.059565393880771714,0.05165202567500286,0.1270397849397331,0.0,0.27214679071737524,0.23359700668977412,0.199193358893724,0.6017974553712258,0.14832416348207228
dods,0.03952863778483178,0.03367410245606312,0.16086068675916879,0.06529013200372415,0.27214679071737524,0.0,0.13292379396136128,0.11955032919717737,0.2544382533315188,0.09795099774979255
lady penelope,0.00912957042261347,0.02888179569773878,0.11381901021088138,0.04704533262132596,0.23359700668977412,0.13292379396136128,0.0,0.1728383396692454,0.2685874882255159,0.12335807306396179
cargill,0.013083440309804193,0.10115910564109411,0.07330128521494542,0.05417587939483109,0.199193358893724,0.11955032919717737,0.1728383396692454,0.0,0.4196712933068142,0.06457620378633894
meg,0.0872912881331566,0.040857616826358245,0.46208664911648656,0.16776746651288346,0.6017974553712258,0.2544382533315188,0.2685874882255159,0.4196712933068142,0.0,0.4620780131397381
touchwood,0.017178567240006007,0.04871720585466777,0.04045251623581885,0.05243104488254709,0.14832416348207228,0.09795099774979255,0.12335807306396179,0.06457620378633894,0.4620780131397381,0.0
