,mowbray,tyrrel,etherington,clara,jekyl,dods,lady penelope,cargill,meg,touchwood
mowbray,0.0,0.07704313603687925,0.012156709920068044,0.002316116554642228,0.062394842577039866,0.03953499760970713,0.009340761717860585,0.012699139310250084,0.09723010023691217,0.016754374106147787
tyrrel,0.07704313603687925,0.0,0.1605284989789703,0.057468452309463014,0.05633140802053658,0.034181461022014685,0.02809293979194293,0.09808176457705682,0.04681925076092776,0.04759566545860317
etherington,0.012156709920068044,0.1605284989789703,0.0,0.167245900996629,0.04801657522101811,0.15852343812168843,0.11473893430207814,0.0705624846665256,0.47208721135420245,0.039353657537254574
clara,0.002316116554642228,0.057468452309463014,0.167245900996629,0.0,0.11929515097078115,0.06563640316965084,0.046851417640557884,0.05272283725696185,0.181028262400469,0.051041117398798665
jekyl,0.062394842577039866,0.05633140802053658,0.04801657522101811,0.11929515097078115,0.0,0.26415706012463114,0.22902362931504328,0.1898859828492204,0.6041494804822377,0.14159695047145943
dods,0.03953499760970713,0.034181461022014685,0.15852343812168843,0.06563640316965084,0.26415706012463114,0.0,0.13277463776632312,0.11696068187467075,0.26758472527026217,0.09465334707980372
lady penelope,0.009340761717860585,0.02809293979194293,0.11473893430207814,0.046851417640557884,0.22902362931504328,0.13277463776632312,0.0,0.17095600039095055,0.2799502085902247,0.12164015552581141
cargill,0.012699139310250084,0.09808176457705682,0.0705624846665256,0.05272283725696185,0.1898859828492204,0.11696068187467075,0.17095600039095055,0.0,0.4310906252578171,0.06183192152897886
meg,0.09723010023691217,0.04681925076092776,0.47208721135420245,0.181028262400469,0.6041494804822377,0.26758472527026217,0.2799502085902247,0.4310906252578171,0.0,0.470155163217341
touchwood,0.016754374106147787,0.04759566545860317,0.039353657537254574,0.051041117398798665,0.14159695047145943,0.09465334707980372,0.12164015552581141,0.06183192152897886,0.470155163217341,0.0
