,marc,simon,louise,geneviève,gorgias,david,mignot,crabot,delbos,philibin
marc,0.0,0.0020908004846852796,0.0007550409621010626,0.00046968015656680953,0.002261437282722031,0.001141546754115419,0.00042590405420641774,0.0011129115839590173,0.0011171579505873381,0.0014093246597911564
simon,0.0020908004846852796,0.0,0.019201160123132967,0.019239978246861435,0.004835973870798794,0.002106997724166516,0.004150381912158981,0.0025439946290489518,0.0010316071552887477,0.0028021201077756985
louise,0.0007550409621010626,0.019201160123132967,0.0,0.048932935904734944,0.032430174855597425,0.054392889222345774,0.04625987816890995,0.03224316204048711,0.033761471296403,0.05982557040262012
geneviève,0.00046968015656680953,0.019239978246861435,0.048932935904734944,0.0,0.04784124108044601,0.04289064315351452,0.019566893710677977,0.022555136633122565,0.03578034771541829,0.02887751853397745
gorgias,0.002261437282722031,0.004835973870798794,0.032430174855597425,0.04784124108044601,0.0,0.15520052229217216,0.1127414455346368,0.03322829312813776,0.021314350289720493,0.12011233596515188
david,0.001141546754115419,0.002106997724166516,0.054392889222345774,0.04289064315351452,0.15520052229217216,0.0,0.047753227107568214,0.012403988298682755,0.02817504993868282,0.025351664869663514
mignot,0.00042590405420641774,0.004150381912158981,0.04625987816890995,0.019566893710677977,0.1127414455346368,0.047753227107568214,0.0,0.05131798421416293,0.0665099591881018,0.046185793100988304
crabot,0.0011129115839590173,0.0025439946290489518,0.03224316204048711,0.022555136633122565,0.03322829312813776,0.012403988298682755,0.05131798421416293,0.0,0.04940829254894274,0.08701877607758148
delbos,0.0011171579505873381,0.0010316071552887477,0.033761471296403,0.03578034771541829,0.021314350289720493,0.02817504993868282,0.0665099591881018,0.04940829254894274,0.0,0.18798089059646822
philibin,0.0014093246597911564,0.0028021201077756985,0.05982557040262012,0.02887751853397745,0.12011233596515188,0.025351664869663514,0.046185793100988304,0.08701877607758148,0.18798089059646822,0.0
