,everard,alice,wildrake,cromwell,albert,henry,joceline,rochecliffe,charles,pearson
everard,0.0,0.047162115526217095,0.008843726754012269,0.05300594443766165,0.05944769455781163,0.02412932326206897,0.02170218848785748,0.019396979744688004,0.015491859900907375,0.07371410204168355
alice,0.047162115526217095,0.0,0.08812195262896834,0.09083744266638195,0.028884602991557665,0.0077778592593147925,0.0062186856819701234,0.011444887446054217,0.0039446895682222335,0.09866883424512969
wildrake,0.008843726754012269,0.08812195262896834,0.0,0.13162061227410732,0.09569337157931711,0.04679198688853448,0.04082508343162959,0.07445316838194874,0.050300252773016425,0.15910442953816234
cromwell,0.05300594443766165,0.09083744266638195,0.13162061227410732,0.0,0.1505720262257685,0.0992349605275926,0.08897740168415906,0.07558413303084296,0.10814401824443494,0.002718758368065936
albert,0.05944769455781163,0.028884602991557665,0.09569337157931711,0.1505720262257685,0.0,0.08017914706264177,0.08302246242300323,0.059550606096185954,0.05005398507206185,0.1588448636662578
henry,0.02412932326206897,0.0077778592593147925,0.04679198688853448,0.0992349605275926,0.08017914706264177,0.0,0.022527030233986237,0.05929761349195297,0.059514137551419675,0.1721512740558132
joceline,0.02170218848785748,0.0062186856819701234,0.04082508343162959,0.08897740168415906,0.08302246242300323,0.022527030233986237,0.0,0.13759628489196624,0.11570955915762579,0.23566502071416998
rochecliffe,0.019396979744688004,0.011444887446054217,0.07445316838194874,0.07558413303084296,0.059550606096185954,0.05929761349195297,0.13759628489196624,0.0,0.04458120022413911,0.11758090294960483
charles,0.015491859900907375,0.0039446895682222335,0.050300252773016425,0.10814401824443494,0.05005398507206185,0.059514137551419675,0.11570955915762579,0.04458120022413911,0.0,0.15563655796939044
pearson,0.07371410204168355,0.09866883424512969,0.15910442953816234,0.002718758368065936,0.1588448636662578,0.1721512740558132,0.23566502071416998,0.11758090294960483,0.15563655796939044,0.0
