,denise,mouret,hutin,bourdoncle,pauline,robineau,favier,madame desforges,baudu,henriette
denise,0.0,0.02496098086431294,0.007596935606723764,0.007357946260968508,0.00053449834645222,0.0029528198475852275,0.008135724587777834,0.006029469572322838,0.0013869523196137878,0.016061944885074824
mouret,0.02496098086431294,0.0,0.027097276571106797,0.0007091772174558759,0.022544439894019403,0.022703620994589523,0.011249680059096592,0.005089629732820292,0.022471379353480234,0.0010759640078984475
hutin,0.007596935606723764,0.027097276571106797,0.0,0.11178537608223475,0.02579217569929676,0.04468363757190348,0.009409845298265464,0.03757880093888347,0.1114071153730927,0.06825925318697111
bourdoncle,0.007357946260968508,0.0007091772174558759,0.11178537608223475,0.0,0.1298545723150806,0.08889907824077874,0.09011738354610387,0.06340200818817719,0.06377272486474891,0.061371914174285204
pauline,0.00053449834645222,0.022544439894019403,0.02579217569929676,0.1298545723150806,0.0,0.07814825422457769,0.041250697136979875,0.06687816647621138,0.14570631500027814,0.09598534789419937
robineau,0.0029528198475852275,0.022703620994589523,0.04468363757190348,0.08889907824077874,0.07814825422457769,0.0,0.0687503431015906,0.1001853307345499,0.07180314561310018,0.14713805509082334
favier,0.008135724587777834,0.011249680059096592,0.009409845298265464,0.09011738354610387,0.041250697136979875,0.0687503431015906,0.0,0.04382095513230508,0.13469751290014906,0.06505535061005885
madame desforges,0.006029469572322838,0.005089629732820292,0.03757880093888347,0.06340200818817719,0.06687816647621138,0.1001853307345499,0.04382095513230508,0.0,0.13537204753652754,0.057870775885347364
baudu,0.0013869523196137878,0.022471379353480234,0.1114071153730927,0.06377272486474891,0.14570631500027814,0.07180314561310018,0.13469751290014906,0.13537204753652754,0.0,0.18113183264306015
henriette,0.016061944885074824,0.0010759640078984475,0.06825925318697111,0.061371914174285204,0.09598534789419937,0.14713805509082334,0.06505535061005885,0.057870775885347364,0.18113183264306015,0.0
