,étienne,catherine,maheu,maheude,chaval,zacharie,jeanlin,m. hennebeau,bonnemort,levaque
étienne,0.0,0.013269276160208772,0.023538011111608737,0.010913042122545813,0.006313508361318424,0.006336070899133602,0.002695452627559556,0.019375284039287833,0.0039746578404387944,0.002412258784014608
catherine,0.013269276160208772,0.0,0.10323053230407588,0.01729388308572697,0.001550416393467633,0.005366410149667896,0.010405505310577897,0.03237204471083354,0.007590879339987589,0.004464528058521035
maheu,0.023538011111608737,0.10323053230407588,0.0,0.04019239628412134,0.04940058568532687,0.012231798140028283,0.0085225677472404,0.03146304832914756,0.012619162675335704,0.0005508484187439968
maheude,0.010913042122545813,0.01729388308572697,0.04019239628412134,0.0,0.04888300188899889,0.06429642556122701,0.052391028372155785,0.07129761570058325,0.012030729459107057,0.017412617263189642
chaval,0.006313508361318424,0.001550416393467633,0.04940058568532687,0.04888300188899889,0.0,0.14411031290591694,0.03352257141069501,0.05163840351617205,0.022596756019230616,0.024802724542256564
zacharie,0.006336070899133602,0.005366410149667896,0.012231798140028283,0.06429642556122701,0.14411031290591694,0.0,0.1007708240664403,0.12005163597273033,0.022695229129611118,0.01783529455721511
jeanlin,0.002695452627559556,0.010405505310577897,0.0085225677472404,0.052391028372155785,0.03352257141069501,0.1007708240664403,0.0,0.04986847798241462,0.016441008000867556,0.015037615260712317
m. hennebeau,0.019375284039287833,0.03237204471083354,0.03146304832914756,0.07129761570058325,0.05163840351617205,0.12005163597273033,0.04986847798241462,0.0,0.06721212925895367,0.11009926718539421
bonnemort,0.0039746578404387944,0.007590879339987589,0.012619162675335704,0.012030729459107057,0.022596756019230616,0.022695229129611118,0.016441008000867556,0.06721212925895367,0.0,0.08459054645991514
levaque,0.002412258784014608,0.004464528058521035,0.0005508484187439968,0.017412617263189642,0.024802724542256564,0.01783529455721511,0.015037615260712317,0.11009926718539421,0.08459054645991514,0.0
