,john,caleb,tackleton,bertha,peerybingle,tilly,john peerybingle,boxer,slowboy,edward
john,0.0,0.07967406616837258,0.1109969766876766,0.06082033242630395,0.023828978031023892,0.01622965499547628,0.0113284432332534,0.0069178802650812325,0.005368652637927744,0.010818073057962443
caleb,0.07967406616837258,0.0,0.059283480815123316,0.010432350699519964,0.09758579874717836,0.021684482285703324,0.018380155445039494,0.02164894063175713,0.014841429507038569,0.02180463496644831
tackleton,0.1109969766876766,0.059283480815123316,0.0,0.03397936870918036,0.10424119127005985,0.019468649467065988,0.00514610402185749,0.02372725023684953,0.01975310603013755,0.02670641256464771
bertha,0.06082033242630395,0.010432350699519964,0.03397936870918036,0.0,0.25339842500055015,0.059832812916536776,0.02922598604426285,0.06501256086195019,0.06098791464107346,0.03360455979600279
peerybingle,0.023828978031023892,0.09758579874717836,0.10424119127005985,0.25339842500055015,0.0,0.17073634976575605,0.2744495789755141,0.06460604545909879,0.046201738729955366,0.4001771211049818
tilly,0.01622965499547628,0.021684482285703324,0.019468649467065988,0.059832812916536776,0.17073634976575605,0.0,0.11877046920170176,0.057857133934132304,0.04093360155673552,0.2129977008403341
john peerybingle,0.0113284432332534,0.018380155445039494,0.00514610402185749,0.02922598604426285,0.2744495789755141,0.11877046920170176,0.0,0.2032594798373903,0.10332332592264595,0.10159486429646014
boxer,0.0069178802650812325,0.02164894063175713,0.02372725023684953,0.06501256086195019,0.06460604545909879,0.057857133934132304,0.2032594798373903,0.0,0.0551361655206822,0.4236253135499573
slowboy,0.005368652637927744,0.014841429507038569,0.01975310603013755,0.06098791464107346,0.046201738729955366,0.04093360155673552,0.10332332592264595,0.0551361655206822,0.0,0.3229352910233447
edward,0.010818073057962443,0.02180463496644831,0.02670641256464771,0.03360455979600279,0.4001771211049818,0.2129977008403341,0.10159486429646014,0.4236253135499573,0.3229352910233447,0.0
