,stepan trofimovitch,pyotr stepanovitch,varvara petrovna,shatov,nikolay vsyevolodovitch,kirillov,yulia mihailovna,liputin,stavrogin,liza
stepan trofimovitch,0.0,0.23326127520155673,0.03413721746521146,0.05547721488905149,0.10915003040159527,0.043787997831629975,0.04165139157056511,0.02119252576598331,0.04429422542567444,0.02497138733974725
pyotr stepanovitch,0.23326127520155673,0.0,0.29829419600169826,0.05011777724933137,0.14609906319685018,0.008482676841480059,0.02357922788566675,0.03625370600918692,0.013545787124577128,0.04112621721833033
varvara petrovna,0.03413721746521146,0.29829419600169826,0.0,0.1592104056139016,0.08213516705193984,0.19330855361063606,0.18427818036735655,0.07418825466163663,0.12509558609078678,0.037941482374409
shatov,0.05547721488905149,0.05011777724933137,0.1592104056139016,0.0,0.15570807208534534,0.026014744565730417,0.09283018457554243,0.028738137195878005,0.055020131367091094,0.02777484433917966
nikolay vsyevolodovitch,0.10915003040159527,0.14609906319685018,0.08213516705193984,0.15570807208534534,0.0,0.20683230636754055,0.15106477688113593,0.12648521257140194,0.12021186246065277,0.08027880315875655
kirillov,0.043787997831629975,0.008482676841480059,0.19330855361063606,0.026014744565730417,0.20683230636754055,0.0,0.09656508303431739,0.08782562672231145,0.05518522139105853,0.09586093796731562
yulia mihailovna,0.04165139157056511,0.02357922788566675,0.18427818036735655,0.09283018457554243,0.15106477688113593,0.09656508303431739,0.0,0.15684489740498353,0.04972632417397992,0.11859057004545963
liputin,0.02119252576598331,0.03625370600918692,0.07418825466163663,0.028738137195878005,0.12648521257140194,0.08782562672231145,0.15684489740498353,0.0,0.1182352320942338,0.0423333741240631
stavrogin,0.04429422542567444,0.013545787124577128,0.12509558609078678,0.055020131367091094,0.12021186246065277,0.05518522139105853,0.04972632417397992,0.1182352320942338,0.0,0.12497850913886847
liza,0.02497138733974725,0.04112621721833033,0.037941482374409,0.02777484433917966,0.08027880315875655,0.09586093796731562,0.11859057004545963,0.0423333741240631,0.12497850913886847,0.0
