,catharine,henry,douglas,ramorny,simon,simon glover,john ramorny,oliver,louise,bonthron
catharine,0.0,0.02565445425835431,0.060221110856824044,0.02454347122561396,0.008543368175728252,0.00777916161581931,0.023262217007558195,0.04676768156536104,0.04936202497093316,0.024076455737638055
henry,0.02565445425835431,0.0,0.07902122875290868,0.08063428884267042,0.030583330649842564,0.0201735217580075,0.024897564755194408,0.013230547555068516,0.05406274058090625,0.03814185569892439
douglas,0.060221110856824044,0.07902122875290868,0.0,0.1493424678664182,0.10910402737252915,0.0782601742391797,0.09097739903154563,0.06640531550515444,0.010357422304445803,0.1140737192789418
ramorny,0.02454347122561396,0.08063428884267042,0.1493424678664182,0.0,0.130540006074913,0.09202630968609367,0.011037789604792826,0.042047755174497145,0.08672236498192466,0.01833799771686988
simon,0.008543368175728252,0.030583330649842564,0.10910402737252915,0.130540006074913,0.0,0.00939440791214558,0.06382525100783597,0.10341733292887946,0.10209915397253647,0.05484477256268317
simon glover,0.00777916161581931,0.0201735217580075,0.0782601742391797,0.09202630968609367,0.00939440791214558,0.0,0.06341127172750054,0.10798513762183677,0.11595390711830211,0.05739454098384576
john ramorny,0.023262217007558195,0.024897564755194408,0.09097739903154563,0.011037789604792826,0.06382525100783597,0.06341127172750054,0.0,0.14155735017033486,0.16784761377511773,0.03265149929995011
oliver,0.04676768156536104,0.013230547555068516,0.06640531550515444,0.042047755174497145,0.10341733292887946,0.10798513762183677,0.14155735017033486,0.0,0.17040019655941185,0.1844593002639487
louise,0.04936202497093316,0.05406274058090625,0.010357422304445803,0.08672236498192466,0.10209915397253647,0.11595390711830211,0.16784761377511773,0.17040019655941185,0.0,0.1938631231786173
bonthron,0.024076455737638055,0.03814185569892439,0.1140737192789418,0.01833799771686988,0.05484477256268317,0.05739454098384576,0.03265149929995011,0.1844593002639487,0.1938631231786173,0.0
