,raskolnikov,sonia,dounia,razumihin,katerina ivanovna,svidrigaïlov,pyotr petrovitch,pulcheria alexandrovna,porfiry,avdotya romanovna
raskolnikov,0.0,0.024187789203645893,0.01683776833088695,0.004386224935643417,0.021084125058844116,0.012699155081491798,0.01259208224106596,0.008267644958776752,0.0006695680855834406,0.007527115507099547
sonia,0.024187789203645893,0.0,0.13171361775511495,0.16266232426765562,0.01689116771639178,0.04763307857828128,0.03790973072648238,0.062108256500502244,0.024333005976636825,0.04402678870514433
dounia,0.01683776833088695,0.13171361775511495,0.0,0.11991938717126957,0.09668761740226471,0.050637508471184894,0.0607577542951752,0.0025451481938693387,0.039714168676859916,0.005854194922944211
razumihin,0.004386224935643417,0.16266232426765562,0.11991938717126957,0.0,0.11724785647644005,0.18164547933984906,0.06766602107629956,0.004616393394780955,0.020851397102066887,0.007691647943821698
katerina ivanovna,0.021084125058844116,0.01689116771639178,0.09668761740226471,0.11724785647644005,0.0,0.12819243259764815,0.03140254499311538,0.09812728336072964,0.05381241119099768,0.057563183954783104
svidrigaïlov,0.012699155081491798,0.04763307857828128,0.050637508471184894,0.18164547933984906,0.12819243259764815,0.0,0.2412183104217254,0.23690536601047646,0.11936559355366845,0.13067198513725706
pyotr petrovitch,0.01259208224106596,0.03790973072648238,0.0607577542951752,0.06766602107629956,0.03140254499311538,0.2412183104217254,0.0,0.09790188304611003,0.05068027442081737,0.06411066724089765
pulcheria alexandrovna,0.008267644958776752,0.062108256500502244,0.0025451481938693387,0.004616393394780955,0.09812728336072964,0.23690536601047646,0.09790188304611003,0.0,0.12762173064271293,0.03777347066362939
porfiry,0.0006695680855834406,0.024333005976636825,0.039714168676859916,0.020851397102066887,0.05381241119099768,0.11936559355366845,0.05068027442081737,0.12762173064271293,0.0,0.0805162062335326
avdotya romanovna,0.007527115507099547,0.04402678870514433,0.005854194922944211,0.007691647943821698,0.057563183954783104,0.13067198513725706,0.06411066724089765,0.03777347066362939,0.0805162062335326,0.0
