,elizabeth,darcy,bennet,jane,bingley,wickham,collins,lydia,gardiner,lizzy
elizabeth,0.0,0.00607011522065954,0.00625892859833824,0.0018036165022372783,0.009306773216642398,0.004722049999044588,0.003212208775418002,0.0043073050985314755,0.0009758990029800836,0.0018137996682807721
darcy,0.00607011522065954,0.0,0.026230378715083456,0.020586607470135944,0.012985105555632911,0.016669295248759854,0.02586324236877806,0.028571268735510226,0.013061685136626002,0.005368478626865947
bennet,0.00625892859833824,0.026230378715083456,0.0,0.03320949667144341,0.015065936275235996,0.058599361876324925,0.05444226578631239,0.042355104546828996,0.04939880657965421,0.0036320213220315876
jane,0.0018036165022372783,0.020586607470135944,0.03320949667144341,0.0,0.05269047893094112,0.03006646414206704,0.07998111839012438,0.02121228610978607,0.031345596394827105,0.003648008611538639
bingley,0.009306773216642398,0.012985105555632911,0.015065936275235996,0.05269047893094112,0.0,0.1374125880840638,0.10820670345771723,0.13024306284499257,0.09815971324163518,0.01340261371540447
wickham,0.004722049999044588,0.016669295248759854,0.058599361876324925,0.03006646414206704,0.1374125880840638,0.0,0.13804594349101532,0.03502897286156103,0.0341046083933268,0.04095033534466775
collins,0.003212208775418002,0.02586324236877806,0.05444226578631239,0.07998111839012438,0.10820670345771723,0.13804594349101532,0.0,0.20674781699384082,0.16306968280436412,0.12629625277485287
lydia,0.0043073050985314755,0.028571268735510226,0.042355104546828996,0.02121228610978607,0.13024306284499257,0.03502897286156103,0.20674781699384082,0.0,0.03369919907154557,0.03700641702734233
gardiner,0.0009758990029800836,0.013061685136626002,0.04939880657965421,0.031345596394827105,0.09815971324163518,0.0341046083933268,0.16306968280436412,0.03369919907154557,0.0,0.1650374246938044
lizzy,0.0018137996682807721,0.005368478626865947,0.0036320213220315876,0.003648008611538639,0.01340261371540447,0.04095033534466775,0.12629625277485287,0.03700641702734233,0.1650374246938044,0.0
