,therese,laurent,camille,madame raquin,raquin,michaud,grivet,olivier,suzanne,francois
therese,0.0,0.024628069032764432,0.0036822005872384498,0.0009691561740059718,0.0008335208905659863,0.001582801679163228,0.0025363570487732423,0.0017695098056575832,0.0008430520684678315,0.0017396608387032842
laurent,0.024628069032764432,0.0,0.011940842652239807,0.0020852343777919445,0.006252972461218508,0.002064203845804703,0.0027736550750816075,0.002111016322136611,0.0020636429886704776,0.0010246635151034671
camille,0.0036822005872384498,0.011940842652239807,0.0,0.004802657222821819,0.0026424916349434336,0.0073981065948745565,0.007983974330021808,0.005231178993752831,0.006137407187966237,0.000786861428286883
madame raquin,0.0009691561740059718,0.0020852343777919445,0.004802657222821819,0.0,0.023326290851526404,0.02330779864715016,0.010439519976664318,0.007815443943992164,0.004440061858578521,0.02042473373684721
raquin,0.0008335208905659863,0.006252972461218508,0.0026424916349434336,0.023326290851526404,0.0,0.09999890936113447,0.020875363893690373,0.026292893200982794,0.02249132858538784,0.01144292915321619
michaud,0.001582801679163228,0.002064203845804703,0.0073981065948745565,0.02330779864715016,0.09999890936113447,0.0,0.06961325974655316,0.007024060268298025,0.010481492812290702,0.040886434535351124
grivet,0.0025363570487732423,0.0027736550750816075,0.007983974330021808,0.010439519976664318,0.020875363893690373,0.06961325974655316,0.0,0.025630383961316998,0.02705251196336761,0.03540536966157692
olivier,0.0017695098056575832,0.002111016322136611,0.005231178993752831,0.007815443943992164,0.026292893200982794,0.007024060268298025,0.025630383961316998,0.0,0.01338239220674897,0.03542127519969468
suzanne,0.0008430520684678315,0.0020636429886704776,0.006137407187966237,0.004440061858578521,0.02249132858538784,0.010481492812290702,0.02705251196336761,0.01338239220674897,0.0,0.03376864648254936
francois,0.0017396608387032842,0.0010246635151034671,0.000786861428286883,0.02042473373684721,0.01144292915321619,0.040886434535351124,0.03540536966157692,0.03542127519969468,0.03376864648254936,0.0
